Identifiant,Nom_officiel,Adresse,Code_postal,Ville,Departement,Region,Coordonnees,Categorie,Domaine_thematique,Themes,Protection_batiment,Protection_espace,URL,Date_de_mise_a_jour
M0513,musée de l'Ecole de Nancy,36-38 rue du Sergent Blandan,54000,Nancy,Meurthe-et-Moselle,Grand Est,"48.680494, 6.166351",Inconnu,Arts décoratifs,"Arts décoratifs : Céramique, Mobilier, Verrerie;Beaux-Arts : Dessin, Estampe et Affiche, Peinture, Sculpture;Ethnologie : Mobilier;Histoire;Musique : Instruments",Protégé au titre des Monuments historiques : https://www.pop.culture.gouv.fr/notice/merimee/PA54000010?base=%5B%22Patrimoine%20architectural%20%28M%C3%A9rim%C3%A9e%29%22%5D&mainSearch=%22Corbin%22&ou=%5B%22Nancy%22%5D&last_view=%22mosaic%22&idQuery=%22e04775-82d8-c81-136c-bc8fb53c78%22,Abords d'un Monument historique. Site patrimonial remarquable.,www.ecole-de-nancy.com/web/,2025-07-28
M0514,musée lorrain,64 grande rue,54000,Nancy,Meurthe-et-Moselle,Grand Est,"48.697316, 6.179154",Inconnu,Archéologie;Arts décoratifs;Beaux-arts;Ethnologie;Histoire,"Archéologie nationale : Préhistoire, Gallo-romain, Médiéval;Architecture et urbanisme;Art religieux (catholique et juif);Arts décoratifs : Mobilier, Orfèvrerie;Beaux-Arts : Dessin, Estampe et Affiche, Peinture, Sculpture;Collections militaires : Armes, Artillerie, Uniformes, Armures;Fonds ancien d imprimés, Photographie, Numismatique, Ouvrages de bibliophilie;Ethnologie : Costume, Mobilier, Métiers et Outils, Pratiques religieuses et collectives;Histoire : Histoire locale et régionale, Histoire religieuse, Biographie;Musique : Instruments;Sciences fondamentales : Astronomie;Sciences et techniques : Sciences médicales",Protégé au titre des Monuments historiques : https://www.pop.culture.gouv.fr/notice/merimee/PA00106304?base=%5B%22Patrimoine%20architectural%20%28M%C3%A9rim%C3%A9e%29%22%5D&mainSearch=%22Mus%C3%A9e%22&ou=%5B%22Nancy%22%5D&last_view=%22list%22&idQuery=%221076dea-dd57-6583-47e4-6814cfb442%22,Site patrimonial remarquable.,www.musee-lorrain.nancy.fr/,2025-07-28
M0515,musée d’art et d’histoire,25 rue Gouvion Saint-Cyr,54200,Toul,Meurthe-et-Moselle,Grand Est,"48.678544, 5.89134",Inconnu,Archéologie;Arts décoratifs;Beaux-arts;Histoire;Technique et industrie,"Archeologie nationale : Préhistoire, Protohistoire, Gallo-romain, Médiéval;Arts décoratifs : Céramique, Mobilier (salon Louis XVI), Textiles (tapisseries);Beaux-Arts : Dessin, Peinture (du XVIIIe et du XIXe.);Collections militaires;Autres collections : Fonds ancien d imprimés;Ethnologie : Costume, Habitat, Métiers et Outils;Histoire : Histoire locale et régionale, Histoire religieuse;Musique : Instruments (monocorde de Poussot.);Sciences fondamentales;Sciences de la nature : Mammalogie, Minéralogie, Ornithologie",Inconnu,Abords d'un Monument historique.,www.toul.fr/?actuellement-au-musee,2025-07-28
M0517,musée barrois,esplanade du château,55000,Bar-le-Duc,Meuse,Grand Est,"48.771797, 5.156074",Inconnu,Archéologie;Arts décoratifs;Beaux-arts;Ethnologie;Afrique;Amérique;Océanie;Arts de l'Islam;Photographie;Technique et industrie;Sciences de la nature,"Archéologie nationale : Préhistoire, Protohistoire, Gallo-romain, Paléo-chrétien;Art religieux;Arts décoratifs : Mobilier;Beaux-Arts : Peinture, Sculpture;Civilisations extra-européennes : Africaines, Américaines, Islamiques, Océaniennes;Collections militaires;Numismatique;Ethnologie;Histoire : Histoire locale et régionale, Histoire militaire;Sciences de la nature : Invertébrés, Mammalogie, Minéralogie, Ornithologie, Paléontologie",Protégé au titre des Monuments historiques : https://www.pop.culture.gouv.fr/notice/merimee/PA00106461?base=%5B%22Patrimoine%20architectural%20%28M%C3%A9rim%C3%A9e%29%22%5D&ou=%5B%22Bar-le-Duc%22%5D&last_view=%22list%22&idQuery=%22f2a71cc-bf7a-4260-7ea7-b31463376eb6%22,Site patrimonial remarquable.,musees-meuse.fr/musee-barrois/,2025-07-28
M0518,musée de la céramique et de l'ivoire,7 avenue Carcano,55200,Commercy,Meuse,Grand Est,"48.76331, 5.58962",Inconnu,Arts décoratifs;Beaux-arts;Ethnologie;Technique et industrie,"Arts décoratifs : Céramique, Orfèvrerie, Ivoires;Collections militaires : Armes;Ethnologie : Métiers et Outils",Inconnu,Inconnu,musees-meuse.fr/musee-de-la-ceramique-et-de-livoire-commercy/,2025-07-28
M0519,musée Jules Bastien-Lepage et musée de la fortification,la citadelle,55600,Montmédy,Meuse,Grand Est,"49.523594, 5.348511",musée de site ; musée en milieu rural,Archéologie;Beaux-arts;Histoire;Technique et industrie,"Architecture et urbanisme;Beaux-Arts : Dessin, Peinture;Collections militaires : Armes, Artillerie, Uniformes, Armures;Photographie, Plans;Histoire : Histoire militaire",Inconnu,Abords d'un Monument historique.,musees-meuse.fr/musee-jules-bastien-lepage-montmedy/#1486118691097-c04ba0bd-02c9,2025-07-30
M0520,musée d'art sacré de la Meuse,1 rue du palais de justice,55300,Saint-Mihiel,Meuse,Grand Est,"48.88855, 5.541165",musée d'art sacré ; musée en milieu rural,Arts décoratifs;Ethnologie,"Archéologie nationale : Préhistoire, Paléo-chrétien;Beaux-Arts : Dessin, Peinture, Sculpture;Ethnologie : Costume, Pratiques religieuses et collectives",Protégé au titre des Monuments historiques : https://www.pop.culture.gouv.fr/notice/merimee/PA00106613,Site classé.,musees-meuse.fr/musee-dart-sacre-saint-mihiel/,2025-07-28
M0521,musée départemental Raymond Poincaré,14 rue du château,55300,Sampigny,Meuse,Grand Est,"48.827583, 5.50824",maison musée. ; maison des Illustres ; musée en milieu rural,Histoire,"Beaux-Arts : Dessin, Estampe et Affiche;Histoire : Histoire locale et régionale, Histoire militaire, Biographie",Inconnu,Inconnu,musees-meuse.fr/musee-departemental-raymond-poincare-sampigny/,2025-07-28
M0522,musée de la bière et du pays de Stenay,17 rue du moulin,55700,Stenay,Meuse,Grand Est,"49.48769, 5.186786",musée en milieu rural,Arts décoratifs;Ethnologie;Histoire;Technique et industrie,"Beaux-Arts : Estampe et Affiche;Ethnologie : Métiers et Outils;Histoire : Période historique (ancienne, moderne et contemporaine.), Histoire religieuse;Sciences et techniques (brasserie et malterie)",Protégé au titre des Monuments historiques : https://www.pop.culture.gouv.fr/notice/merimee/PA00106639?base=%22merimee%22&listResPage=13&qb=%5B%7B%22field%22%3A%5B%22ACTU.keyword%22%5D%2C%22operator%22%3A%22%2A%22%2C%22value%22%3A%22mus%C3%A9e%22%2C%22combinator%22%3A%22AND%22%2C%22index%22%3A0%7D%5D&resPage=13&last_view=%22list%22&idQuery=%2218165e-f410-be-1e86-dae18efd2cb%22,Site inscrit.,museedelabiere.com/,2025-07-28
M0523,musée d'Argonne,9 rue Louis XVI,55270,Varennes-en-Argonne,Meuse,Grand Est,"49.226057, 5.033072",musée en milieu rural,Archéologie;Arts décoratifs;Ethnologie;Technique et industrie,"Archéologie nationale : Gallo-romain;Arts décoratifs : Céramique, Verrerie;Collections militaires : Armes, Uniformes, Armures;Ethnologie : Costume (de l'Argonne), Métiers et Outils",Inconnu,Inconnu,musees-meuse.fr/musee-dargonne-varennes-en-argonne/,2025-07-28
M0524,musée Jeanne d'Arc,rue Jeanne d'Arc,55140,Vaucouleurs,Meuse,Grand Est,"48.602652, 5.666",musée en milieu rural,Histoire,Inconnu,Inconnu,Inconnu,musees-meuse.fr/musee-jeanne-darc-vaucouleurs/,2025-07-28
M0525,musée de la Princerie,16 rue de La Belle Vierge,55100,Verdun,Meuse,Grand Est,"49.161059, 5.382439",Inconnu,Archéologie;Arts décoratifs;Beaux-arts;Ethnologie;Histoire,"Antiquités étrangères : Grecques et romaines, Egyptiennes;Archéologie nationale : Préhistoire, Protohistoire, Gallo-romain, Médiéval;Art religieux;Arts décoratifs : Céramique, Mobilier;Beaux-Arts : Dessin, Peinture, Sculpture;Civilisations extra-européennes : Africaines;Collections militaires : Armes, Uniformes, Armures;Photographie, Numismatique, Sigillographie;Ethnologie : Mobilier, Métiers et Outils;Histoire : Histoire locale et régionale;Sciences de la nature : Paléontologie",Protégé au titre des Monuments historiques : https://www.pop.culture.gouv.fr/notice/merimee/PA00106661,Inconnu,www.musee-princerie-verdun.fr/,2025-07-28
M0526,musée de la guerre de 1870,11 rue de Metz,57130,Gravelotte,Moselle,Grand Est,"49.113679, 6.029871",Inconnu,Arts décoratifs;Beaux-arts;Histoire,"Beaux-arts : dessin, estampe et affiche, peinture, sculpture;collections militaires : armes, artillerie, uniformes;archives papier;fonds anciens d'imprimés;photographie;manuscrits, incunables;Histoire : période historique : Second Empire et Annexion (1870-1918);Histoire militaire",Inconnu,Abords d'un Monument historique. Parc naturel.,www.mosellepassion.fr/index.php/les-sites-moselle-passion/musee-de-la-guerre-de-1870,2025-07-28
M0527,musée du Sel,porte de France,57630,Marsal,Moselle,Grand Est,"48.788503, 6.606549",Inconnu,Archéologie,"Archéologie nationale : Protohistoire, Gallo-romain;Arts décoratifs;Beaux-Arts : Estampe et Affiche;Ethnologie : Métiers et Outils;Histoire : Musée thématique, Histoire militaire;Sciences fondamentales : Chimie;Sciences de la nature : Minéralogie",Protégé au titre des Monuments historiques : https://www.pop.culture.gouv.fr/notice/merimee/PA00106807?base=%5B%22Patrimoine%20architectural%20%28M%C3%A9rim%C3%A9e%29%22%5D&ou=%5B%22Marsal%22%5D&last_view=%22list%22&idQuery=%22a676ada-74f6-4870-6077-bf73e16b120b%22,Site classé. Parc naturel.,www.mosellepassion.fr/index.php/les-sites-moselle-passion/musee-du-sel,2025-07-28
M0528,Maison du Verre et du Cristal,place Robert Schuman,57960,Meisenthal,Moselle,Grand Est,"48.964935, 7.352438",musée en milieu rural,Art moderne et contemporain;Histoire;Technique et industrie,Arts décoratifs : Verrerie;Ethnologie : Métiers et Outils;Histoire : Histoire locale et régionale;Sciences et techniques : Industrie,Protégé au titre des Monuments historiques : https://www.pop.culture.gouv.fr/notice/merimee/PA57000004,Abords d'un Monument historique. Parc naturel.,ciav-meisenthal.fr/rubrique/apropos,2025-07-28
M0529,musée de la Cour d'or,2 rue du Haut-Poirier,57000,Metz,Moselle,Grand Est,"49.121051, 6.177978",Inconnu,Archéologie;Arts décoratifs;Art moderne et contemporain;Beaux-arts;Histoire;Photographie;Sciences de la nature;Ethnologie;Océanie,"Antiquités etrangères : Grecques et romaines;Archéologie nationale : Préhistoire, Protohistoire, Gallo-romain, Paléo-chrétien, Médiéval;Art religieux (art paléo-chrétien, art chrétien, art juif);Arts décoratifs : Mobilier, Verrerie;Beaux-Arts : Dessin, Peinture (écoles du nord, française, italienne, espagnole, école de Metz), Sculpture (sculptures lorraines du XIIe au XVIe siècles);Photographie;Ethnologie : Costume, Habitat, Mobilier, Métiers et Outils, Pratiques religieuses et collectives;Histoire : Histoire locale et régionale, Histoire religieuse, Histoire militaire;Sciences de la nature : Mammalogie, Ornithologie;Sciences et techniques : Océaniennes",Protégé au titre des Monuments historiques : Thermes : https://www.pop.culture.gouv.fr/notice/merimee/PA00106921?base=%5B%22Patrimoine%20architectural%20%28M%C3%A9rim%C3%A9e%29%22%5D&listResPage=5&mosaicPage=5&ou=%5B%22Metz%22%5D&last_view=%22mosaic%22&idQuery=%22f38120-587c-b58f-da3-0cde3ad586d%22 Grenier : https://www.pop.culture.gouv.fr/notice/merimee/PA00106843?base=%5B%22Patrimoine%20architectural%20%28M%C3%A9rim%C3%A9e%29%22%5D&listResPage=4&mosaicPage=4&ou=%5B%22Metz%22%5D&last_view=%22mosaic%22&idQuery=%222157bfa-df2a-84ce-d7e1-8b4fcf23d76a%22 Eglise : https://www.pop.culture.gouv.fr/notice/merimee/PA00106836?base=%5B%22Patrimoine%20architectural%20%28M%C3%A9rim%C3%A9e%29%22%5D&listResPage=4&mosaicPage=4&ou=%5B%22Metz%22%5D&last_view=%22mosaic%22&idQuery=%22243613-0d2c-7131-1c4-2dea504265b%22,Site patrimonial remarquable. Abords d'un Monument historique. ,musee.metzmetropole.fr/,2025-07-28
M0530,musée des mines de fer de Lorraine,2 rue du musée,57700,Neufchef,Moselle,Grand Est,"49.325904, 6.027572",Ecomusée,Technique et industrie,"Archéologie nationale : moderne;Art religieux (Culte de sainte Barbe);Archives papier, Archives sonores, Image animée, Manuscrits, incunables, Plans;Ethnologie : Costume, Habitat, Mobilier, Métiers et Outils, Pratiques religieuses et collectives;Histoire : Musée thématique;Musique : Instruments;Sciences fondamentales : Physique;Sciences de la nature : Géologie, Minéralogie, Paléontologie",Inconnu,Inconnu,www.musee-minesdefer-lorraine.com,2025-07-30
M0531,musée militaire et Erckmann-Chatrian,place d'armes,57370,Phalsbourg,Moselle,Grand Est,"48.766548, 7.259055",musée littéraire ; musée en milieu rural,Histoire;Littérature,"Collections militaires : Armes, Uniformes, Armures;Histoire : Histoire locale et régionale, Histoire militaire",Inconnu,Inconnu,www.phalsbourg.fr/La_culture__les_loisirs/Le_musee,2025-07-28
M0532,musée du Pays de Sarrebourg,rue de la paix,57400,Sarrebourg,Moselle,Grand Est,"48.734975, 7.055253",Inconnu,Archéologie;Arts décoratifs;Art moderne et contemporain;Beaux-arts;Ethnologie;Histoire,"Archeologie nationale : Préhistoire, Protohistoire, Gallo-romain;Ethnologie : Mobilier",Inconnu,Site patrimonial remarquable.,www.sarrebourg.fr/Musee,2025-07-28
M0533,musée de la faïence et des techniques faïencières,15-17 rue Poincaré,57200,Sarreguemines,Moselle,Grand Est,"49.109069, 7.070473",Musée de site. Jardin remarquable.,Arts décoratifs;Technique et industrie;Ethnologie;Afrique;Archéologie,"Archéologie nationale (archéologie régionale.), Préhistoire, Protohistoire, Gallo-romain, Médiéval;Arts décoratifs : Céramique;Collections militaires : Armes;Archives papier, Archives sonores, Fonds ancien d imprimés, Plans",Protégé au titre des Monuments historiques : https://www.pop.culture.gouv.fr/notice/merimee/PA00107001?base=%5B%22Patrimoine%20architectural%20%28M%C3%A9rim%C3%A9e%29%22%5D&ou=%5B%22Sarreguemines%22%5D&last_view=%22mosaic%22&idQuery=%22e2a33f3-a628-7cf-6e38-1ad0644e232%22,Site classé.,www.sarreguemines-museum.fr,2025-07-28
M0534,musée de la Tour-aux-Puces,cour du château,57125,Thionville,Moselle,Grand Est,"49.35817096733886, 6.169267003245504",Inconnu,Archéologie;Ethnologie,"Archéologie nationale : Préhistoire, Protohistoire (Halsttatt final), Gallo-romain (IIe siècle après J-C.)",Protégé au titre des Monuments historiques : https://www.pop.culture.gouv.fr/notice/merimee/PA00107018?base=%5B%22Patrimoine%20architectural%20%28M%C3%A9rim%C3%A9e%29%22%5D&mainSearch=%22Tour%22&ou=%5B%22Thionville%22%5D&last_view=%22mosaic%22&idQuery=%22c252b-e373-5614-d2af-8a17b7c65e8%22,Site inscrit.,www.tourauxpuces.com/fr,2025-07-28
M0536,musée départemental d'art ancien et contemporain,1 place de Lagarde,88000,Epinal,Vosges,Grand Est,"48.17326, 6.446595",Inconnu,Archéologie;Arts décoratifs;Art moderne et contemporain;Beaux-arts;Ethnologie;Histoire;Photographie;Sciences de la nature;Technique et industrie,"Antiquités étrangères : Grecques et romaines;Archéologie nationale : Gallo-romain, Paléo-chrétien, Médiéval;Art moderne et contemporain;Beaux-Arts : Dessin, Estampe et Affiche, Peinture, Sculpture;Ethnologie : Habitat, Métiers et Outils",Inconnu,Inconnu,mudaac.vosges.fr/,2025-07-28
M0537,musée de l'image,42 quai Dogneville,88000,Epinal,Vosges,Grand Est,"48.183628, 6.445992",Inconnu,Ethnologie;Beaux-arts;Art moderne et contemporain,"Architecture / Urbanisme (Plans, maquettes);Art moderne / Art contemporain;Art religieux (nombreuses images populaires religieuses datant du 17e au 20e siècle);Beaux-arts : Dessin, Estampe, Peinture;Civilisations européennes (images populaires provenant d’Allemagne, d’Italie, d’Espagne, des Pays-Bas, de Belgique);Civilisations extra-européennes (images populaires notamment de centres imagiers d’Inde, du Japon, d’Egypte, du Maghreb);Collections militaires (planches de soldats, constructions de la guerre de 14-18, images de propagande, images de la légende napoléonienne, images historiques et politiques);Collections spécifiques (fonds anciens d'imprimés);Ethnologie (imagerie populaire, essentiellement 19e siècle, produite dans les centres imagiers français et étrangers. Plus de 1300 bois gravés);Histoire (Musée de l'image, ancienne et contemporaine);Histoire locale et régionale (centres imagiers français et étrangers, dont l'Imagerie d'Epinal);Histoire et pratiques religieuses (images de dévotion);Sciences et techniques (techniques d'impression des images populaires).",Inconnu,Inconnu,museedelimage.fr/,2025-07-28
M0538,musée de la lutherie et de l'archèterie françaises,cours Stanislas,88503,Mirecourt,Vosges,Grand Est,"48.30159282877004, 6.135440439964067",musée de site ; musée en milieu rural,Arts décoratifs;Ethnologie;Technique et industrie,Arts décoratifs (objets d'art);Ethnologie : Métiers et Outils;Histoire : Histoire locale et régionale;Musique : Instruments,Inconnu,Site patrimonial remarquable.,www.musee-mirecourt.fr/#,2025-07-30
M0539,musée Louis Français,30 avenue Louis Français,88370,Plombières-Les-Bains,Vosges,Grand Est,"47.964095, 6.458494",musée en milieu rural,Beaux-arts;Ethnologie;Histoire,Beaux-Arts : Dessin;Histoire Naturelle;Archéologie;Collections militaires,Inconnu,Site patrimonial remarquable.,www.plombieres-les-bains.fr/fr/musee-du-paysage-louis-francais.html,2025-07-28
M0540,musée Charles-de-Bruyères,70 rue Charles de Gaulle,88200,Remiremont,Vosges,Grand Est,"48.016142, 6.593289",Inconnu,Archéologie;Arts décoratifs;Beaux-arts;Ethnologie;Histoire;Photographie,"Archéologie nationale : Médiéval;Arts décoratifs (objets d'art);Beaux-Arts : Dessin, Estampe et Affiche, Peinture, Sculpture;Numismatique;Ethnologie : Costume, Mobilier, Métiers et Outils;Histoire : Histoire locale et régionale, Histoire militaire;Musique;Sciences de la nature : Minéralogie, Ornithologie",Inconnu,Site patrimonial remarquable.,www.remiremont.fr/culture/musees-de-remiremont/musee-charles-de-bruyeres/,2025-07-30
M0541,musée Charles-Friry,12 rue du général Humbert,88200,Remiremont,Vosges,Grand Est,"48.015174, 6.590031",Maison d'artiste,Arts décoratifs;Art moderne et contemporain;Beaux-arts;Histoire;Photographie,"Archéologie nationale : Médiéval;Art religieux;Arts décoratifs : Mobilier;Beaux-Arts : Dessin, Estampe et Affiche, Peinture;Fonds ancien d imprimés;Histoire : Histoire locale et régionale, Histoire religieuse",Protégé au titre des Monuments historiques : https://www.pop.culture.gouv.fr/notice/merimee/PA00107254?base=%5B%22Patrimoine%20architectural%20%28M%C3%A9rim%C3%A9e%29%22%5D&ou=%5B%22Remiremont%22%5D&last_view=%22mosaic%22&idQuery=%22072fba1-644d-158-24db-54f1cfcd00fc%22,Site patrimonial remarquable. Abords d'un Monument historique. ,www.remiremont.fr/culture/musees-de-remiremont/musee-charles-friry/,2025-07-30
M0543,musée départemental de l'Ariège,rue du rocher,09000,Foix,Ariège,Occitanie,"42.965864, 1.6053",Musée de site,Archéologie;Histoire,"Archéologie nationale : Médiéval;Collections militaires : Armes;Histoire : Période historique, Histoire locale et régionale",Protégé au titre des Monuments historiques : https://www.pop.culture.gouv.fr/notice/merimee/PA00093793?base=%5B%22Patrimoine%20architectural%20%28M%C3%A9rim%C3%A9e%29%22%5D&ou=%5B%22Foix%22%5D&last_view=%22mosaic%22&idQuery=%22b14f-6aaa-34b8-3c4-d3d741d4d27%22,Inconnu,www.sites-touristiques-ariege.fr/chateau-de-foix/,2025-07-28
M0544,musée de la Préhistoire,place de l'église,09290,Le Mas d'Azil,Ariège,Occitanie,"43.079849, 1.360358",musée en milieu rural,Archéologie,Archéologie nationale : Préhistoire,Inconnu,Abords d'un Monument historique ; site Classé ; site Inscrit.,www.sites-touristiques-ariege.fr/grotte-du-mas-dazil/,2025-07-30
M0545,musée d'archéologie,32 village,09300,Montségur,Ariège,Occitanie,"42.871095, 1.832858",musée de site ; site archéologique ; musée en milieu rural,Archéologie;Histoire;Technique et industrie,Médiéval;Ethnologie : Métiers et Outils;Histoire : Période historique (Catharisme),Inconnu,Site patrimonial remarquable. Site classé/ Abords d'un Monument historique.,www.montsegur.fr/chateau-et-musee/acces/,2025-07-28
M0546,musée du Palais des Evêques,route de Montjoie,09190,Saint-Lizier,Ariège,Occitanie,"43.001452, 1.143469",Inconnu,Archéologie;Sciences de la nature,Archéologie nationale;Art religieux;Arts décoratifs : Textiles;Histoire : Histoire locale et régionale;Sciences de la nature,Protégé au titre des Monuments historiques : https://www.pop.culture.gouv.fr/notice/merimee/PA00125555?base=%5B%22Patrimoine%20architectural%20%28M%C3%A9rim%C3%A9e%29%22%5D&ou=%5B%22Saint-Lizier%22%5D&last_view=%22list%22&idQuery=%22220056-57c8-57db-ae83-b22c03177c5%22,Site patrimonial remarquable.,www.saint-lizier.com/loisirs/,2025-07-28
M0547,"musée des mœurs et coutumes, musée du Rouergue",place Pierre Frontin,12500,Espalion,Aveyron,Occitanie,"44.520841, 2.760423",musée en milieu rural,Ethnologie;Histoire,Archéologie nationale;Ethnologie;Art religieux,Inconnu,Inconnu,musees.aveyron.fr/thematiques/mus%C3%A9e%20des%20moeurs%20et%20coutumes,2025-07-28
M0548,musée Joseph Vaylet,38 rue droite,12500,Espalion,Aveyron,Occitanie,"44.521365, 2.762702",musée en milieu rural,Archéologie;Beaux-arts;Ethnologie;Histoire;Sciences et techniques,Archéologie nationale;Ethnologie;Art religieux,Protégé au titre des Monuments historiques :  https://www.pop.culture.gouv.fr/notice/merimee/PA00094017?base=%5B%22Patrimoine%20architectural%20%28M%C3%A9rim%C3%A9e%29%22%5D&ou=%5B%22Espalion%22%5D&last_view=%22mosaic%22&idQuery=%2274fd0b-1652-71bd-81d0-43cac47b7ae0%22,Abords d'un Monument historique.,musees.aveyron.fr/thematiques/mus%C3%A9e%20joseph%20vaylet%20scaphandre,2025-07-28
M0549,musée municipal,place Foch,12100,Millau,Aveyron,Occitanie,"44.097895, 3.080595",Inconnu,Archéologie;Art moderne et contemporain;Beaux-arts;Ethnologie;Histoire;Technique et industrie,"Archéologie nationale (archéologie des Causses), Préhistoire, Gallo-romain, Paléo-chrétien;Arts décoratifs (peaux et gants);Ethnologie (collection de poupées anciennes);Sciences de la nature : Paléontologie;Musique : Souvenirs de compositeurs et d'interprètes",Inconnu,Patrimoine mondial de l'UNESCO.,www.millau.fr/que-faire-a-millau/culture/musee/,2025-07-28
M0550,musée des beaux-arts Denys Puech,1 place Clemenceau,12000,Rodez,Aveyron,Occitanie,"44.349287, 2.578079",Inconnu,Art moderne et contemporain;Beaux-arts;Photographie,"Art moderne et contemporain;Beaux-Arts : Dessin, Estampe et Affiche, Peinture, Sculpture",Inconnu,Inconnu,musee-denys-puech.rodezagglo.fr/,2025-07-28
M0551,musée Fenaille,14 place Raynaldy,12000,Rodez,Aveyron,Occitanie,"44.349201, 2.576408",Inconnu,Archéologie;Histoire;Ethnologie;Afrique;Amérique;Asie;Océanie,"Antiquités étrangères : Egyptiennes;Archéologie nationale : Préhistoire, Protohistoire, Gallo-romain, Médiéval;Art religieux;Arts décoratifs : Céramique, Mobilier, Orfèvrerie, Textiles, Verrerie;Beaux-Arts : Peinture, Sculpture;Civilisations extra-européennes : Africaines, Américaines, Asiatiques, Océaniennes;Collections militaires : Armes, Uniformes, Armures;Numismatique;Ethnologie : Mobilier, Métiers et Outils;Histoire : Histoire locale et régionale;Sciences de la nature : Botanique, Entomologie, Géologie, Herpétologie, Invertébrés, Ichtyologie, Malacologie, Mammalogie, Minéralogie, Ornithologie, Paléontologie",Protégé au titre des Monuments historiques : https://www.pop.culture.gouv.fr/notice/merimee/PA00094116?base=%5B%22Patrimoine%20architectural%20%28M%C3%A9rim%C3%A9e%29%22%5D&mainSearch=%22Fenaille%22&ou=%5B%22Rodez%22%5D&last_view=%22list%22&idQuery=%2253da03-62e6-624b-bd32-da3c6447545%22,Inconnu,musee-fenaille.rodezagglo.fr/,2025-07-28
M0552,musée municipal,rue Saint-Pierre,12250,Roquefort-sur-Soulzon,Aveyron,Occitanie,"43.975103, 2.991651",musée en milieu rural,Archéologie,"Archéologie nationale : Préhistoire, Protohistoire, Gallo-romain",Inconnu,Inconnu,Inconnu,2025-07-28
M0553,musée des arts et métiers,cour de la filature,12330,Salles-la-Source,Aveyron,Occitanie,"44.430577, 2.483923",musée en milieu rural,Ethnologie;Technique et industrie,"Ethnologie : Métiers et outils (artisanat, machines)",Inconnu,Site classé.,musees.aveyron.fr/thematiques/mus%C3%A9e%20de%20salles%20la%20source,2025-07-28
M0554,musée du Charroi Rural,le placet,12120,Salmiech,Aveyron,Occitanie,"44.202302, 2.587674",musée en milieu rural,Technique et industrie,"Image animée, Photographie, Ouvrages de bibliophilie;Ethnologie : Métiers et Outils;Sciences fondamentales : Physique;Sciences et techniques : Transports terrestres",Inconnu,Inconnu,www.musee-charroi-rural-salmiech.fr/,2025-07-28
M0555,musée Urbain Cabrol,place de la fontaine,12200,Villefranche-de-Rouergue,Aveyron,Occitanie,"44.351353, 2.036793",Inconnu,Archéologie;Sciences et techniques;Ethnologie;Amérique;Océanie,"Préhistoire, Archéologie grecque et romaine, Archéologie nationale, Gallo-romain, Médiéval, Art religieux chrétien, Beaux-arts, Peinture, Sculpture, Civilisations extra-européennes : Afrique, Amériques, Océanie, Collections militaires : Armes, Artillerie, Ethnologie : Mobilier, Métiers et outils, Pratiques religieuses et collectives,;Histoire locale et régionale , Histoire religieuse, Musique, Instruments de musique, Sciences et techniques : Sciences médicales",Inconnu,Inconnu,www.villefranchederouergue.fr/spip.php?rubrique75,2025-07-28
M0556,musée forum de l’Aurignacien,avenue de Bénabarre,31420,Aurignac,Haute-Garonne,Occitanie,"43.216166, 0.88003",musée de site ; musée en milieu rural,Archéologie;Sciences de la nature,Inconnu,Inconnu,Abords d'un Monument historique.,www.musee-aurignacien.com/,2025-07-28
M0557,musée du Pays de Luchon,18 allée d'Etigny,31110,Bagnères-de-Luchon,Haute-Garonne,Occitanie,"42.789494, 0.592035",musée en milieu rural,Archéologie;Ethnologie;Histoire;Sciences de la nature,"Antiquités étrangères : Grecques et romaines;Archéologie nationale : Préhistoire, Protohistoire, Gallo-romain;Architecture et urbanisme;Beaux-Arts : Dessin, Peinture;Collections militaires : Armes;Autres collections : Photographie, Ouvrages de bibliophilie, Partitions, Philatélie, Plans;Ethnologie : Mobilier, Métiers et Outils;Histoire : Histoire locale et régionale;Musique : Instruments;Sciences de la nature : Botanique, Géologie, Minéralogie;Sciences et techniques : Aéronautique",Protégé au titre des Monuments historiques : https://www.pop.culture.gouv.fr/notice/merimee/PA00094277,Inconnu,www.mairie-luchon.fr/culture_lieux.html,2025-07-28
M0558,musée municipal,place du donjon,31220,Martres-Tolosane,Haute-Garonne,Occitanie,"43.199447, 1.010287",musée de site ; musée en milieu rural,Archéologie,Archéologie nationale : Gallo-romain;Architecture et urbanisme,Inconnu,Abords d'un Monument historique.,Inconnu,2025-07-28
M0560,musée archéologique,Études & conservation,31510,Saint-Bertrand-de-Comminges,Haute-Garonne,Occitanie,"43.022611, 0.579433",musée de site ; musée en milieu rural,Archéologie,Inconnu,Inconnu,Abords d'un Monument historique. Site patrimonial remarquable. Site classé.,www.st-bertrand.com/patrimoine/visite-decouverte-patrimoine/,2025-07-28
