;Identifiant Muséofile;Région administrative;Département;Commune;Nom officiel du musée;Code Postal;URL;Latitude;Longitude
577;M0411;Île-de-France;Hauts-de-Seine;Issy-les-Moulineaux;musée français de la carte à jouer et galerie d'histoire de la ville;92130.0;www.museecarteajouer.com/;48,822771;2,273453
578;M0428;Île-de-France;Hauts-de-Seine;Chelles;musée des transports urbains, interurbains et ruraux;77500.0;amtuir.org/;48,87682;2,603374
579;M0363;Île-de-France;Paris;Paris (3ème);musée de la chasse et de la nature;75003.0;www.chassenature.org/;48,861491;2,358608
580;M0364;Île-de-France;Paris;Paris (3ème);musée d'art et d'histoire du judaïsme;75003.0;www.mahj.org/;48,86095;2,355608
581;M0365;Île-de-France;Paris;Paris;musée de l'institut du monde arabe;75005.0;www.imarabe.org/fr/musee/presentation-du-musee;48,843955;2,352176
582;M1108;Île-de-France;Paris;Paris;Palais Galliera, musée de la mode et de la ville de Paris;75116.0;www.palaisgalliera.paris.fr/;48,86613681;2,2972485
583;M1202;Île-de-France;Paris;Paris;musée d'art et d'histoire de l'hôpital Sainte-Anne;75014.0;musee-mahhsa.com;48,830264;2,340376
584;M5051;Île-de-France;Paris;Paris;musée de l'Ecole nationale supérieure des beaux-arts;75006.0;beauxartsparis.fr/fr/collection/presentation;48,845748;2,33167
585;M5055;Île-de-France;Paris;Paris;musée du Quai Branly - Jacques Chirac;75007.0;www.quaibranly.fr/fr/;48,861511;2,29771
586;M9024;Île-de-France;Paris;Paris;musée du service de santé des armées du Val-de-Grâce;75005.0;www.ecole-valdegrace.sante.defense.gouv.fr/bibliotheque-musee/musee-du-service-de-sante-des-armees;48,840814;2,341091
587;M1103;Île-de-France;Paris;Paris;musée Bourdelle;75015.0;www.bourdelle.paris.fr/;48,843017;2,31883
588;M5004;Île-de-France;Paris;Paris (6ème);musée Eugène Delacroix;75006.0;www.musee-delacroix.fr/fr/;48,854434;2,335679
590;M5030;Île-de-France;Paris;Paris (1er);musée de l'Orangerie des Tuileries;75001.0;www.musee-orangerie.fr/;48,868053;2,326622
591;M5039;Île-de-France;Paris;Paris (17ème);musée Jean-Jacques Henner;75017.0;www.musee-henner.fr/;48,883045;2,307689
592;M5041;Île-de-France;Paris;Paris (9ème);musée Gustave Moreau;75009.0;musee-moreau.fr/;48,877878;2,334383
593;M5042;Île-de-France;Paris;Paris;musée des monuments français;75016.0;www.citedelarchitecture.fr/fr/article/le-musee-des-monuments-francais;48,862323;2,281879
594;M5043;Île-de-France;Paris;Paris (3ème);musée Picasso;75003.0;www.museepicassoparis.fr/;48,8597;2,362644
595;M5084;Île-de-France;Paris;Paris;musée national de l'histoire et des cultures de l'immigration;75012.0;www.histoire-immigration.fr/;48,836753;2,390394
596;M7004;Île-de-France;Paris;Paris (5ème);galerie de minéralogie et de géologie (muséum national d'histoire naturelle);75005.0;www.mnhn.fr/fr/collections/ensembles-collections/mineralogie-geologie;48,841491;2,355989
597;M7008;Île-de-France;Paris;Paris (16ème);musée de l'homme (muséum national d'histoire naturelle);75016.0;www.museedelhomme.fr/;48,862548;2,28222
598;M7009;Île-de-France;Paris;Paris (5ème);galerie de botanique (muséum national d'histoire naturelle);75005.0;www.mnhn.fr/fr/collections/ensembles-collections/botanique;48,847667;2,342646
599;M0366;Île-de-France;Paris;Paris (9ème);musée de la Franc-Maçonnerie;75009.0;www.museefm.org/;48,874991;2,343088
600;M1101;Île-de-France;Paris;Paris;musée d'art moderne de la ville de Paris;75116.0;www.mam.paris.fr/fr;48,86460322;2,298432342
601;M1104;Île-de-France;Paris;Paris;musée Carnavalet - histoire de Paris;75003.0;www.carnavalet.paris.fr/;48,85699;2,362856
602;M1106;Île-de-France;Paris;Paris;musée Cernuschi, musée des arts de l'Asie de la ville de Paris;75008.0;www.cernuschi.paris.fr/;48,879693;2,312194
603;M1107;Île-de-France;Paris;Paris;musée Cognacq-Jay, musée du XVIIIe siècle de la ville de Paris;75003.0;www.museecognacqjay.paris.fr/;48,858257;2,361524
604;M1113;Île-de-France;Paris;Paris;musée de la vie romantique;75009.0;museevieromantique.paris.fr/fr;48,880899;2,333278
605;M1116;Île-de-France;Paris;Paris (15ème);musée de la poste;75731.0;www.museedelaposte.fr/;48,84156094;2,317700896
606;M1204;Île-de-France;Paris;Paris;musée Yves Saint Laurent Paris;75116.0;museeyslparis.com/;48,873694;2,280339
607;M5005;Île-de-France;Paris;Paris (16ème);musée des arts asiatiques Guimet;75116.0;www.museeguimet.fr;48,86425;2,293754
608;M5031;Île-de-France;Paris;Paris (1er);musée du Louvre;75058.0;www.louvre.fr/;48,8607946;2,33781566
609;M5040;Île-de-France;Paris;Paris (16ème);musée d'Ennery;75116.0;www.guimet.fr/;48,871845;2,281997
610;M5059;Île-de-France;Paris;Paris (7ème);musée national de la Légion d'honneur et des ordres de chevalerie;75007.0;www.legiondhonneur.fr/fr;48,860294;2,324768
611;M5071;Île-de-France;Paris;Paris;musée des Plans-reliefs;75007.0;www.museedesplansreliefs.culture.fr/;48,858219;2,312885
612;M5073;Île-de-France;Paris;Paris (8ème);musée Nissim de Camondo (Union centrale des arts décoratifs);75008.0;madparis.fr/francais/musees/musee-nissim-de-camondo/;48,878849;2,312855
613;M0369;Île-de-France;Paris;Paris (18ème);musée de Montmartre;75018.0;museedemontmartre.fr/;48,887709;2,340577
614;M1076;Île-de-France;Paris;Paris (5ème);musée de l'assistance publique - hôpitaux de Paris;75005.0;www.aphp.fr/musee;48,838805;2,356007
615;M1102;Île-de-France;Paris;Paris;maison de Balzac;75016.0;www.maisondebalzac.paris.fr/;48,855398;2,280805
616;M1109;Île-de-France;Paris;Paris;musée de la Libération de Paris - musée du général Leclerc - musée Jean Moulin;75015.0;www.museeliberation-leclerc-moulin.paris.fr/;48,840614;2,319773
617;M5025;Île-de-France;Paris;Paris (7ème);musée de l'armée;75007.0;www.musee-armee.fr/accueil.html;48,858219;2,312885
618;M5026;Île-de-France;Paris;Paris (16ème);musée national de la marine;75116.0;www.musee-marine.fr/;48,86425;2,293754
619;M5057;Île-de-France;Paris;Paris (19ème);musée de la musique;75019.0;philharmoniedeparis.fr/fr/musee-de-la-musique;48,889306;2,393807
620;M5060;Île-de-France;Paris;Paris (7ème);musée d'Orsay;75007.0;www.musee-orsay.fr/;48,859157;2,323672
621;M5065;Île-de-France;Paris;Paris (3ème);musée des arts et métiers;75003.0;www.arts-et-metiers.net/;48,865357;2,357046
622;M5066;Île-de-France;Paris;Paris (6ème);musée des monnaies et médailles;75006.0;www.monnaiedeparis.fr/;48,857003;2,338699
623;M7005;Île-de-France;Paris;Paris (5ème);galerie d'entomologie (muséum national d'histoire naturelle);75005.0;www.mnhn.fr/fr/collections/ensembles-collections/arthropodes-terrestres;48,843834;2,355199
624;M7006;Île-de-France;Paris;Paris (5ème);grande galerie de l'évolution (muséum national d'histoire naturelle);75005.0;www.mnhn.fr/fr/visitez/lieux/grande-galerie-evolution;48,841491;2,355989
625;M1111;Île-de-France;Paris;Paris;Petit Palais, musée des beaux-arts de la ville de Paris;75008.0;www.petitpalais.paris.fr/;48,86609;2,313763
626;M1114;Île-de-France;Paris;Paris;maison de Victor Hugo;75004.0;www.maisonsvictorhugo.paris.fr/;48,854808;2,366232
627;M1115;Île-de-France;Paris;Paris;musée Zadkine;75006.0;www.zadkine.paris.fr/;48,842793;2,333457
628;M5003;Île-de-France;Paris;Paris (5ème);musée du Moyen Âge - thermes et hôtel de Cluny;75005.0;www.musee-moyenage.fr/;48,850437;2,344553
629;M5021;Île-de-France;Paris;Paris (1er);musée des arts décoratifs (Union centrale des arts décoratifs);75001.0;madparis.fr/francais;48,863218;2,3333
630;M5044;Île-de-France;Paris;Paris (7ème);musée Rodin;75007.0;www.musee-rodin.fr/;48,855868;2,31598
631;M5050;Île-de-France;Paris;Paris (4ème);musée national d'art moderne (centre national d'art et de culture Georges Pompidou);75191.0;www.centrepompidou.fr/;48,86080432;2,352223541
632;M7003;Île-de-France;Paris;Paris (5ème);galerie d'anatomie comparée et de paléontologie (muséum national d'histoire naturelle);75005.0;www.mnhn.fr/fr/collections/ensembles-collections/vertebres/anatomie-comparee;48,842168;2,359933
633;M0377;Île-de-France;Seine-et-Marne;Le Mée-sur-Seine;musée Henri Chapu;77350.0;le-mee-sur-seine.fr/le-mee-village/une-terre-dartistes/;48,534859;2,635235
634;M0382;Île-de-France;Seine-et-Marne;Nemours;musée de préhistoire d'Île-de-France;77140.0;www.musee-prehistoire-idf.fr/fr;48,260312;2,714321
635;M0384;Île-de-France;Seine-et-Marne;Saint-Cyr-sur-Morin;musée des pays de Seine-et-Marne;77750.0;www.musee-seine-et-marne.fr/fr;48,90803;3,18169
636;M0371;Île-de-France;Seine-et-Marne;Chelles;musée Alfred Bonno;77500.0;www.chelles.fr/chelles-a-vivre/culture/musee-alfred-bonno/;48,87766;2,591845
638;M0375;Île-de-France;Seine-et-Marne;Fontainebleau;musée d'art et d'histoire militaire;77300.0;www.fontainebleau.fr/engagee/fontainebleau-avance/un-batiment-renove-et-un-lieu-totalement-repense-251.html;48,406893;2,698781
639;M9013;Île-de-France;Seine-et-Marne;Melun;musée de la Gendarmerie;77000.0;www.gendarmerie.interieur.gouv.fr/musee;48,54648;2,651583
640;M0373;Île-de-France;Seine-et-Marne;Coupvray;maison natale de Louis Braille;77400.0;museelouisbraille.com/;48,867372;2,712931
641;M0378;Île-de-France;Seine-et-Marne;Meaux;musée Bossuet;77100.0;www.musee-bossuet.fr/;48,938016;2,87061
642;M0379;Île-de-France;Seine-et-Marne;Melun;musée de Melun;77000.0;www.ville-melun.fr/temps-libre/musee-d-art-et-d-histoire-de-la-ville-de-melun/232-presentation-du-musee;48,536398;2,658972
643;M0381;Île-de-France;Seine-et-Marne;Nemours;château musée de Nemours;77140.0;www.nemours.fr/chateau-musee/;48,265518;2,696157
644;M0383;Île-de-France;Seine-et-Marne;Provins;musée de Provins et du Provinois;77160.0;www.provins.net/decouvrir-visiter/samuser-au-musee/le-musee-de-provins-et-du-provinois/;48,561624;3,290374
645;M0386;Île-de-France;Seine-et-Marne;Vulaines-sur-Seine;musée départemental Stéphane Mallarmé;77870.0;www.musee-mallarme.fr/fr;48,430323;2,746605
646;M1171;Île-de-France;Seine-et-Marne;Meaux;musée de la Grande Guerre;77100.0;www.museedelagrandeguerre.eu/;48,955281;2,901461
647;M5013;Île-de-France;Seine-et-Marne;Fontainebleau;musée national du château de Fontainebleau;77300.0;www.chateaudefontainebleau.fr/;48,402815;2,696858
648;M0370;Île-de-France;Seine-et-Marne;Barbizon;musée de l'école de Barbizon - auberge Ganne;77630.0;www.musee-peintres-barbizon.fr/fr;48,446181;2,602464
649;M0372;Île-de-France;Seine-et-Marne;Coulommiers;musée municipal des Capucins;77120.0;www.coulommiers.fr/loisirs/patrimoine/le-musee/;48,810834;3,086974
650;M0376;Île-de-France;Seine-et-Marne;Lagny-sur-Marne;musée Gatien Bonnet;77400.0;www.lagny-sur-marne.fr/loisirs/culture/musee-gatien-bonnet/;48,879644;2,707767
653;M0420;Île-de-France;Seine-Saint-Denis;Montreuil-sous-bois;musée de l'histoire vivante;93100.0;www.museehistoirevivante.fr/;48,866151;2,469481
654;M0422;Île-de-France;Seine-Saint-Denis;Saint-Denis;musée d'art et d'histoire Paul Eluard;93200.0;musee-saint-denis.com/;48,932336;2,355796
655;M0423;Île-de-France;Seine-Saint-Denis;Saint-Ouen;musée municipal;93400.0;www.saint-ouen.fr/services-infos-pratiques/culture-et-patrimoine/histoire-et-patrimoine/287-collections-d-art-et-d-histoire.html;48,915848;2,330639
656;M5024;Île-de-France;Seine-Saint-Denis;Le Bourget;musée de l'air et de l'espace;93352.0;www.museeairespace.fr/;48,94681951;2,435562436
657;M0434;Île-de-France;Val d'Oise;Guiry-en-Vexin;musée archéologique départemental du Val d'Oise;95450.0;www.valdoise.fr/608-le-musee-archeologique-departemental-du-val-d-oise.htm;49,108589;1,849395
658;M0435;Île-de-France;Val d'Oise;L'Isle-Adam;musée d'art et d'histoire Louis Senlecq;95290.0;ville-isle-adam.fr/musee;49,112285;2,21638
659;M1213;Île-de-France;Val d'Oise;Auvers-sur-Oise;Musée Daubigny;95430.0;museedaubigny.com;49,07148015;2,17178325
660;M0437;Île-de-France;Val d'Oise;Montmorency;musée Jean-Jacques Rousseau;95160.0;museejjrousseau.montmorency.fr/fr;48,986892;2,320916
661;M5012;Île-de-France;Val d'Oise;Ecouen;musée de la Renaissance - château d'Ecouen;95440.0;musee-renaissance.fr/;49,015862;2,378424
662;M0436;Île-de-France;Val d'Oise;Louvres;ARCHÉA, Archéologie en Pays de France;95380.0;archea.roissypaysdefrance.fr/;49,041117;2,50695
663;M0438;Île-de-France;Val d'Oise;Pontoise;musée Tavet Delacour;95300.0;www.ville-pontoise.fr/equipement/musee-tavet-delacour#overlay-context=search/node/tavet;49,050929;2,099776
665;M0439;Île-de-France;Val d'Oise;Pontoise;musée Pissarro;95300.0;www.ville-pontoise.fr/equipement/musee-camille-pissarro;49,048396;2,099887
666;M5064;Île-de-France;Val-de-Marne;Maisons-Alfort;musée Fragonard;94704.0;www.vet-alfort.fr/domaine-d-alfort/musee-fragonard/infos-pratiques;48,81278283;2,423362965
667;M0425;Île-de-France;Val-de-Marne;Champigny-sur-Marne;musée de la résistance nationale;94501.0;www.musee-resistance.com/musee-nouveau/presentation/;48,80748349;2,525362871
668;M0424;Île-de-France;Val-de-Marne;Bry-sur-Marne;musée Adrien Mentienne;94360.0;museedebry.fr/#/page-musee/fr;48,835224;2,519827
669;M0426;Île-de-France;Val-de-Marne;Fresnes;écomusée;94260.0;www.fresnes94.fr/a-votre-service/culture-sports-et-loisirs/equipements-culturels/ecomusee-du-val-de-bievre/;48,75525;2,326389
670;M0429;Île-de-France;Val-de-Marne;Saint Maur des Fossés;musée de Saint-Maur - Villa Médicis;94210.0;www.saint-maur.com/?id=127;48,79310938;2,514901836
671;M0431;Île-de-France;Val-de-Marne;Vitry-sur-Seine;musée d'art contemporain du Val-de-Marne;94400.0;www.macval.fr/;48,792821;2,387072
672;M0427;Île-de-France;Val-de-Marne;Nogent-sur-Marne;musée;94130.0;museenogentsurmarne.net/;48,84026;2,484292
673;M0430;Île-de-France;Val-de-Marne;Villiers-sur-Marne;musée Emile Jean;94350.0;www.villiers94.fr/culture-et-sports/patrimoine/musee-emile-jean/;48,826701;2,543144
674;M0394;Île-de-France;Yvelines;Poissy;musée du jouet Pierre Pinel;78300.0;www.ville-poissy.fr/index.php/sport-culture/equipements-culturels/musee-du-jouet.html;48,928429;2,037892
675;M0397;Île-de-France;Yvelines;Saint-Germain-en-Laye;musée municipal;78000.0;www.saintgermainenlaye.fr/736/musee-municipal.htm?L=ppapagepapage=;48,794403;2,127681
676;M0387;Île-de-France;Yvelines;Conflans-Sainte-Honorine;musée de la batellerie;78700.0;www.musee-batellerie-conflans.fr/fr/accueil/;48,992445;2,095621
677;M0390;Île-de-France;Yvelines;Marly-le-Roi-Louveciennes;musée du domaine royal de Marly Louveciennes/Marly-le-Roi;78160.0;www.musee-promenade.fr;48,859572;2,109482
678;M0391;Île-de-France;Yvelines;Maule;musée Victor Aubert;78580.0;museeaubertmaule.free.fr/;48,908246;1,847178
679;M0398;Île-de-France;Yvelines;Montigny-le-Bretonneux;musée de la ville;78180.0;www.saint-quentin-en-yvelines.fr/fr/sortir-et-decouvrir/envie-de-culture/le-musee-de-la-ville-et-le-patrimoine/le-musee;48,782594;2,042664
680;M0399;Île-de-France;Yvelines;Saint-Rémy-les-Chevreuses;collections de la fondation de Coubertin;78470.0;/www.coubertin.fr/;48,706544;2,069096
681;M5045;Île-de-France;Yvelines;Magny-les-Hameaux;musée de Port-Royal des Champs;78114.0;www.port-royal-des-champs.eu/;48,748437;2,01579
682;M0392;Île-de-France;Yvelines;Montfort-l'Amaury;maison-musée Maurice Ravel;78490.0;www.montfortlamaury.fr/culture-tourisme/sites-et-monuments/la-maison-musee-de-maurice-ravel/;48,776137;1,805464
683;M0393;Île-de-France;Yvelines;Poissy;musée d'art et d'histoire;78300.0;musees.ville-poissy.fr/fr/histoire-de-la-collection;48,92797;2,044648
684;M0388;Île-de-France;Yvelines;Jouy-en-Josas;musée de la toile de Jouy;78350.0;www.museedelatoiledejouy.fr/;48,768986;2,153216
685;M0400;Île-de-France;Yvelines;Versailles;musée Lambinet;78000.0;www.versailles.fr/museelambinet/;48,808966;2,130624
686;M1186;Île-de-France;Yvelines;Médan;musée Zola-Dreyfus;78670.0;www.maisonzola-museedreyfus.com/;48,952745;1,995035
687;M5001;Île-de-France;Yvelines;Saint-Germain-en-Laye;musée d'archéologie nationale (des origines à l'an mille) - château de Saint-Germain-en-Laye;78100.0;musee-archeologienationale.fr/;48,897879;2,094936
688;M0389;Île-de-France;Yvelines;Mantes-la-Jolie;musée de l'hôtel-Dieu;78200.0;www.manteslajolie.fr/MUSEE%20DE%20LHOTELDIEU;48,990874;1,719901
689;M0395;Île-de-France;Yvelines;Rambouillet;musée Rambolitrain;78120.0;www.rambolitrain.com/;48,646025;1,823892
690;M0396;Île-de-France;Yvelines;Saint-Germain-en-Laye;musée départemental Maurice Denis;78100.0;www.musee-mauricedenis.fr/;48,892495;2,087541
691;M5077;Île-de-France;Yvelines;Versailles;musée national des châteaux de Versailles et de Trianon;78000.0;www.chateauversailles.fr/;48,804537;2,134053
692;M0658;Normandie;Calvados;Caen;musée de Normandie;14000.0;musee-de-normandie.caen.fr/;49,162048;-0,34514
694;M7063;Normandie;Calvados;Villers-sur-mer;musée paléontologique;14640.0;www.paleospace-villers.fr/;49,328057;0,013729
695;M0654;Normandie;Calvados;Arromanches;musée du Débarquement;14117.0;www.musee-arromanches.fr;49,339971;-0,62156
696;M0659;Normandie;Calvados;Caen;mémorial de Caen, un musée pour la paix;14066.0;www.memorial-caen.fr/;49,19751134;-0,383840027
697;M0655;Normandie;Calvados;Bayeux;Tapisserie de Bayeux - MAHB musée d'art et d'histoire Baron Gérard;14402.0;www.bayeuxmuseum.com/;49,27615187;-0,703063031
698;M0657;Normandie;Calvados;Caen;musée des beaux-arts;14000.0;mba.caen.fr/;49,18615123;-0,361223819
699;M0663;Normandie;Calvados;Le-Molay-Littry;musée de la mine;14330.0;www.ville-molay-littry.fr/tourisme/musees/;49,243172;-0,877058
700;M0664;Normandie;Calvados;Le-Molay-Littry;musée de la meunerie - moulin de Marcy;14330.0;www.ville-molay-littry.fr/tourisme/musees/;49,227605;-0,904606
701;M0665;Normandie;Calvados;Lisieux;musée d'art et d'histoire;14100.0;lisieux-normandie.fr/culture/musee-dart-et-dhistoire-de-lisieux/;49,144581;0,219329
702;M0666;Normandie;Calvados;Orbec;musée municipal le vieux manoir;14290.0;lisieux-normandie.fr/culture/musee-dorbec/;49,022096;0,406804
703;M0670;Normandie;Calvados;Tilly-sur-Seulles;musée de la bataille de Tilly-sur-Seulles;14250.0;seulles-terre-mer.fr/tourisme/sites_et_musees.html;49,177537;-0,612546
704;M0672;Normandie;Calvados;Vire;musée municipal;14500.0;www.virenormandie.fr/sport-culture-et-loisirs/culture-et-loisirs/musee/;48,835996;-0,888245
705;M1077;Normandie;Calvados;Vieux;musée et sites archéologiques de Vieux-la-Romaine;14930.0;www.vieuxlaromaine.fr/accueil.html;49,105412;-0,431321
707;M0660;Normandie;Calvados;Caen;musée de la Société des antiquaires;14000.0;antiquaires-de-normandie.org/spip.php?rubrique12;49,1813016;-0,372151129
708;M0661;Normandie;Calvados;Honfleur;musée Eugène Boudin;14602.0;www.musees-honfleur.fr;49,42241759;0,230866735
709;M0662;Normandie;Calvados;Honfleur;musée d'ethnographie et d'arts populaires et musée de la marine;14600.0;www.musees-honfleur.fr;49,419863;0,233625
710;M0668;Normandie;Calvados;Saint-Germain-de-Livet;château;14100.0;lisieux-normandie.fr/culture/chateau-musee-de-saint-germain-de-livet/;49,074299;0,191032
711;M0667;Normandie;Calvados;Pontécoulant;musée du château;14110.0;chateaupontecoulant.wixsite.com/pontecoulant;48,896128;-0,587689
712;M0671;Normandie;Calvados;Trouville-sur-Mer;musée de la villa Montebello;14360.0;www.trouvillesurmer.org/decouvrir/un-peu-de-culture/balades-a-travers-lhistoire/;49,37135;0,083538
713;M7072;Normandie;Calvados;Caen;musée d'initiation à la nature;14027.0;www.cpievdo.fr/museeinitiationnature;49,1805901;-0,372187156
714;M0702;Normandie;Eure;Conches-en-Ouche;musée municipal;27190.0;museeduverre.fr/fr;48,955254;0,935945
715;M0704;Normandie;Eure;La Couture-Boussey;musée des instruments à vent;27750.0;www.lacoutureboussey.fr/lcb-mairie/index.php/fr/musee;48,908972;1,386877
716;M0708;Normandie;Eure;Vernon;musée Alphonse-Georges Poulain;27200.0;www.vernon27.fr/la-ville/culture/musee/;49,094855;1,484927
717;M0701;Normandie;Eure;Bernay;musée municipal;27300.0;www.bernay27.fr/pole-culture/le-musee/;49,088944;0,598806
718;M0706;Normandie;Eure;Louviers;musée municipal;27400.0;/www.ville-louviers.fr/ma-ville/culture/le-musee/;49,215649;1,168552
719;M0703;Normandie;Eure;Evreux;musée de l'ancien évêché;27000.0;evreux.fr/sortir/culture/musee-evreux/;49,023998;1,1502
720;M0705;Normandie;Eure;Les Andelys;musée Nicolas Poussin;27700.0;www.ville-andelys.fr/musee-nicolas-poussin-2/;49,245827;1,420009
721;M0707;Normandie;Eure;Pont-Audemer;musée Alfred Canel;27500.0;www.ville-pont-audemer.fr/culture/musee-alfred-canel/;49,356747;0,515774
722;M0682;Normandie;Manche;Granville;musée d'Art et d'Histoire de Granville;50400.0;www.ville-granville.fr/a-voir-a-faire-a-granville/vie-culturelle-et-artistique/musee-dart-et-dhistoire/;48,837248;-1,602814
723;M0685;Normandie;Manche;Saint-Lô;musée des beaux-arts;50000.0;www.saint-lo.fr/decouvrir-bouger/culture/musee-d-art-et-d-histoire;49,116174;-1,087574
724;M0679;Normandie;Manche;Cherbourg;musée de la Libération;50100.0;www.cherbourg.fr/infos-services/culture-et-loisirs/musees/musee-de-la-liberation-321.html?L=114;49,630736;-1,616324
725;M0680;Normandie;Manche;Coutances;musée Quesnel-Morinière;50200.0;www.coutances.fr/se-divertir/musee/;49,047263;-1,446668
726;M0684;Normandie;Manche;Granville;musée Christian Dior;50400.0;www.musee-dior-granville.com/;48,83751;-1,588374
727;M0693;Normandie;Manche;Villedieu-les-Poêles;musée de la poêlerie;50800.0;www.museesvilledieu.sitew.com/;48,840754;-1,221648
728;M0687;Normandie;Manche;Saint-Michel-de-Montjoie;musée du Granit;50670.0;www.manche.fr/patrimoine/parc-musee-granit-N.aspx;48,774021;-1,037895
729;M0691;Normandie;Manche;Valognes;musée régional du cidre et du calvados;50700.0;www.mairie-valognes.fr/decouvrir-valognes/musee-regional-cidre/;49,505993;-1,470416
730;M1190;Normandie;Manche;Sainte-Mère-Eglise;ferme-musée du Cotentin;50480.0;www.manche.fr/patrimoine/ferme-musee-cotentin-N.aspx;49,412401;-1,319894
731;M0675;Normandie;Manche;Bricquebec;musée du vieux château;50260.0;www.bricquebec.fr/la_commune_bricquebec/presentation_bricquebec/patrimoine.html;49,424753;-1,649839
732;M0681;Normandie;Manche;Equeurdreville-Hainneville;musée municipal;50120.0;www.cherbourg.fr/infos-services/culture-et-loisirs/centre-d-art-artotheque-et-lieux-d-exposition/espace-culturel-hippolyte-mars-1703.html?L=330;49,64899337;-1,652644352
733;M0688;Normandie;Manche;Saint-Sauveur-le-Vicomte;musée Barbey d'Aurevilly;50390.0;museebarbey.wixsite.com/museebarbey;49,384499;-1,533001
734;M0689;Normandie;Manche;Saint-Vaast-la-Hougue;musée maritime de l'île Tatihou;50550.0;www.manche.fr/tatihou/;49,587648;-1,267813
735;M0690;Normandie;Manche;Torigni-sur-Vire;musée du château;50160.0;www.torignylesvilles.fr/histoire-des-territoires/torigni-sur-vire/;49,03409883;-0,978710667
736;M0673;Normandie;Manche;Avranches;musée municipal de l'Avranchin;50300.0;www.avranches.fr/musee-darts-et-dhistoire__trashed/;48,687696;-1,363384
737;M0674;Normandie;Manche;Barenton;musée du Poiré;50720.0;www.parc-naturel-normandie-maine.fr/musee-du-poire-barenton.html;48,587979;-0,806137
738;M0676;Normandie;Manche;Cerisy-la-Forêt;musée de l'abbaye;50680.0;www.abbaye-cerisy.fr/;49,19308;-0,936738
739;M0677;Normandie;Manche;Cherbourg;musée Thomas Henry;50100.0;www.cherbourg.fr/infos-services/culture-et-loisirs/musees/musee-thomas-henry-318.html;49,638452;-1,625439
740;M0678;Normandie;Manche;Cherbourg;musée Emmanuel Liais;50100.0;www.cherbourg.fr/infos-services/culture-et-loisirs/musees/museum-emmanuel-liais-320.html?L=114;49,6429;-1,630729
741;M0683;Normandie;Manche;Granville;musée Richard Anacréon;50400.0;www.ville-granville.fr/a-voir-a-faire-a-granville/vie-culturelle-et-artistique/musee-dart-moderne-richard-anacreon/;48,838549;-1,600543
742;M0686;Normandie;Manche;Saint-Lô;musée du bocage normand, ferme du bois Jugan;50000.0;www.saint-lo.fr/decouvrir-bouger/culture/musee-du-bocage-normand;49,114654;-1,074964
743;M0697;Normandie;Orne;La Ferté-Macé;musée municipal - musée du jouet;61200.0;lafertemace.fr/musee-municipal/;48,59056897;-0,359062663
745;M0696;Normandie;Orne;L'Aigle;musée municipal d'archéologie;61300.0;www.ville-laigle.fr/culture-et-animations/musee-et-exposition/;48,764955;0,628791
746;M0700;Normandie;Orne;Sées;musée départemental d'art sacré;61500.0;www.ville-sees.fr/visiter-sees/le-musee-dart-religieux/;48,605422;0,171614
747;M0694;Normandie;Orne;Alençon;musée des beaux-arts et de la dentelle;61000.0;museedentelle.cu-alencon.fr/;48,431484;0,083508
748;M0695;Normandie;Orne;Flers;musée du château de Flers;61104.0;www.flers-agglo.fr/culture-sports-et-loisirs/vie-culturelle/visiter-une-exposition/musee-du-chateau-de-flers-decouverte-de-lart-expositions-animations-pour-tous-les-ages/;48,76963604;-0,514904882
749;M0699;Normandie;Orne;Saint-Cyr-La-Rosière;musée départemental des arts et traditions populaires du Perche;61130.0;www.ecomuseeduperche.fr/;48,324387;0,656069
750;M0711;Normandie;Seine-Maritime;Caudebec-en-Caux;mausée de la marine de Seine;76490.0;www.museoseine.fr/presentation/;49,524671;0,72058
751;M0712;Normandie;Seine-Maritime;Dieppe;château-musée;76200.0;www.dieppe.fr/mini-sites/musee-de-dieppe;49,923908;1,071756
752;M0726;Normandie;Seine-Maritime;Montville;musée des sapeurs pompiers de France;76710.0;www.musee-sapeurs-pompiers.org/;49,546845;1,076136
753;M0729;Normandie;Seine-Maritime;Rouen;musée des beaux-arts;76000.0;mbarouen.fr/fr;49,44499;1,09396
754;M0735;Normandie;Seine-Maritime;Saint-Nicolas-d'Aliermont;musée de l'horlogerie;76510.0;www.musee-horlogerie-aliermont.fr/pages/indexpag.html;49,879641;1,219788
755;M5067;Normandie;Seine-Maritime;Rouen;musée national de l'éducation;76000.0;hwww.reseau-canope.fr/musee/;49,441397;1,101667
756;M0727;Normandie;Seine-Maritime;Neufchâtel-en-Bray;musée Mathon-Durand;76270.0;www.neufchatelenbray.fr/vivre-a-neufchatel-en-bray/animations-culturelles/musee/;49,730766;1,436734
757;M1099;Normandie;Seine-Maritime;Elbeuf;musée municipal;76500.0;lafabriquedessavoirs.fr/fr;49,285546;1,006479
758;M7012;Normandie;Seine-Maritime;Rouen;muséum d'histoire naturelle;76000.0;museumderouen.fr/fr;49,447268;1,098932
759;M7015;Normandie;Seine-Maritime;Le Havre;muséum d'histoire naturelle;76600.0;www.museum-lehavre.fr/;49,487552;0,108231
760;M0710;Normandie;Seine-Maritime;Caudebec-en-Caux;maison des templiers;76490.0;www.rives-en-seine.fr/pcu/maison-des-templiers/;49,525351;0,725967
