Identifiant (ID),Nom de l'organisme,Code postal,Département,Commune,Lien vers la ressource,"si ""enfants"", merci de préciser le niveau scolaire",Titre de la ressource,"Activité proposée (apprendre, se divertir, s’informer,...)",Public cible,Types de ressources proposées,Thématiques,Contenus adaptés aux types de handicap,"Temps d’activité estimé (lecture, écoute, visionnage, jeu)",Pérennité de la ressource
2518,Cité de l'architecture et du patrimoine,75001,75,Paris,https://www.citedelarchitecture.fr/fr/article/ateliers-pour-bricoler-en-famille,Maternelle|Primaire,Les bricolarchi - ateliers pour bricoler en famille,Partager ses passions,Enfants,Création et pratiques artistiques,Architecture et patrimoine,,Le temps d’un vrai déjeuner,Accès permanent
2567,Pour l'instant - CACP Villa Pérochon,79000,79,NIORT,https://www.youtube.com/watch?v=YsDuu31Qnec&list=PLpK2Bzn8SSpX6OHLIt6x_kYE7ND1joIJ-,,Question d'images,"Expos, musées",Tous publics,"Vidéo, flux en direct, programmes en différé",Photographie,,Le temps de manger un sandwich pendant une pause déjeuner,Accès permanent
1627,Musée de l'image,88000,88,Epinal,https://www.youtube.com/playlist?list=PLCDxHXP9uGQbN3_1aq2gd6Z1kD6oD058w,Primaire|Collège,Tutos autour des collections,Jeux,Enfants,Jeux,"Arts visuels,Éducation artistique et culturelle",Facile à lire et à comprendre (FALC),Le temps d’une soirée,Accès permanent
1860,99 (association),69008,69,Lyon,https://www.99.media/fr,,"Des documentaires courts du monde entier, sous-titrés en français","Films, documentaires, vidéos",Tous publics,"Vidéo, flux en direct, programmes en différé",Audiovisuel,Sous-titrage,Le temps de manger un sandwich pendant une pause déjeuner,Accès permanent
2093,Centre Pompidou,75001,75,Paris,https://prod.centrepompidou.fr/fr/experience-miro-vr,,Exposition virtuelle Miró,"Expos, musées",,Expositions virtuelles,Peinture,,Le temps d’un vrai déjeuner,Accès permanent
2564,Festival Soeurs Jumelles,17300,17,Rochefort,https://soeursjumelles.com/category/playlist/,,Les playlists du Festival Soeurs Jumelles,Audios,Tous publics,"Audio, radio, podcasts","Cinéma,Musique, concerts et opéras",,Le temps d’une soirée,Accès permanent
1072,Musée Yves Saint Laurent,75001,75,Paris,http://collection.museeyslparis.com/ws/collection/app/plugin/museum/ysl,,La collection en ligne,"Expos, musées",Tous publics,"Images, collections numérisées, bases de données",Mode,,Le temps de manger un sandwich pendant une pause déjeuner,Accès permanent
1171,Rouen nouvelles bibliothèques,76100,76,Rouen,https://sonotheque-normandie.com/home.php,,La Sonothèque normande,Audios,Tous publics,"Audio, radio, podcasts","Audiovisuel,Musique, concerts et opéras",,Le temps d’un vrai déjeuner,Accès permanent
1270,Portail FranceArchives,75001,75,Paris,https://francearchives.fr/fr/section/44227,,Comprendre : des outils pour l'histoire,Approfondir ses connaissances,Tous publics,"Images, collections numérisées, bases de données","Archives,Histoire","Transcription textuelle,Navigation au clavier,Sous-titrage (ST)",Toute une vie ne suffit pas,Accès permanent
1294,Musee archéologique de l'Oise,60120,60,Vendeuil-Caply,https://m-a-o.org/fr/nw/605802/203582/tutos-archeo,114|Primaire|Collège,Tutos Archeo,Jeux,Enfants,Ressources pédagogiques,"Archéologie,Histoire",,Le temps d’un vrai déjeuner,Accès permanent
1300,Musée Nissim de Camondo,75001,75,Paris,https://madparis.fr/francais/musees/musee-nissim-de-camondo/parcours/,144|Collège|Lycée,Parcours en ligne,"Expos, musées",Tous publics,Expositions virtuelles,"Arts décoratifs, design, métiers d’art,Musées",,Le temps d’un vrai déjeuner,Accès permanent
1413,Archives départementales - Var,83300,83,Draguignan,https://archives.var.fr/article.php?larub=3&titre=decouvrir,,Archives en ligne,Approfondir ses connaissances,Tous publics,"Images, collections numérisées, bases de données",Archives,,Le temps d’une soirée,Accès permanent
1592,Institut Polytechnique Unilasalle,60026,60,Beauvais,https://www.musee-delapparent.com/fr,,Musée virtuel Albert de Lapparent,Approfondir ses connaissances,Tous publics,"Vidéo, flux en direct, programmes en différé,Ressources pédagogiques,Images, collections numérisées, bases de données,Jeux,Expositions virtuelles","Archéologie,Histoire,Musées,Sciences",Facile à lire et à comprendre (FALC),Le temps d’un vrai déjeuner,Accès permanent
1629,Musée de la Loire,58200,58,Cosne-cours-sur-Loire,https://www.youtube.com/channel/UC4Me5G5--os6lGosp-Zs_yA,,Chaîne Youtube Musée de Loire,"Expos, musées",Tous publics,"Vidéo, flux en direct, programmes en différé,Ressources pédagogiques","Éducation artistique et culturelle,Histoire,Musées",Sous-titrage,Le temps d’un vrai déjeuner,Accès permanent
1884,lille—design,59200,59,Tourcoing,https://www.lille-design.com/fr/actus-evenements/evenements/expo-passe-present-memoire-industrielle,,"Passé Présent, mémoire industrielle","Films, documentaires, vidéos",Tous publics,"Vidéo, flux en direct, programmes en différé","Arts décoratifs, design, métiers d’art",,Le temps d’un week-end,Accès permanent
2188,Musée d'Art Moderne et d'Art Contemporain de Nice (MAMAC),06364,06,Nice,https://soundcloud.com/tableau-a-grande-vitesse,,Tableau à Grande Vitesse,"Expos, musées",Tous publics,"Audio, radio, podcasts","Arts visuels,Audiovisuel,Éducation artistique et culturelle,Musées,Peinture",,Le temps de manger un sandwich pendant une pause déjeuner,Accès permanent
2415,Théâtre du Rond-Point,75001,75,Paris,http://www.ventscontraires.net/rubrique.cfm/18669_podcasts.html,,Les podcasts du Rond-Point,Audios,Tous publics,"Audio, radio, podcasts","Théâtre, Spectacles",,Le temps d’une soirée,Accès permanent
2646,L'Auditorium Seynod,74600,74,Annecy,https://skillz.compagnieparterre.com/fr,,Skillz,Approfondir ses connaissances,Tous publics,Jeux,Danse,,Le temps de manger un sandwich pendant une pause déjeuner,Accès permanent
654,Association Enfance et Musique,93500,93,Pantin,http://www.enfancemusique.asso.fr/culturecheznous/,,#Culturecheznous,"Films, documentaires, vidéos",Enfants,Ressources pédagogiques,Éducation artistique et culturelle,,Toute une vie ne suffit pas,Accès permanent
661,Audiovisit,69300,69,Caluire-et-Cuire,https://shows.acast.com/le-son-de-peinture?fbclid=IwAR3sSXmqRVyW-XltxR1Ml--LLl10XhlD_26j8ffnNdCVsUFpXDwIzZeSpQo,,Le son de peinture,Audios,Tous publics,"Audio, radio, podcasts","Arts visuels,Musées,Peinture",,Le temps d’une soirée,Accès permanent
674,Bibliothèque nationale de France (BNF),75001,75,Paris,http://expositions.bnf.fr,,Expositions virtuelles,"Expos, musées",Tous publics,Expositions virtuelles,"Bande dessinée,Histoire,Littérature, sciences humaines, langues",,Toute une vie ne suffit pas,Accès permanent
735,Cinémathèque de Bretagne,29200,29,Brest,https://www.cinematheque-bretagne.bzh/Base-documentaire-426-0-0-0.html,,Plus de 6000 films numérisés,"Films, documentaires, vidéos",Tous publics,"Vidéo, flux en direct, programmes en différé","Audiovisuel,Arts numériques",,Toute une vie ne suffit pas,Accès permanent
752,COLORS Urban Art,67000,67,Strasbourg,https://strasbourg.streetartmap.eu/,,Street Art Map,"Expos, musées",Tous publics,Expositions virtuelles,"Art urbain (graph, hip hop, street art…)",,Le temps d’une soirée,Accès permanent
805,Feedbooks,92380,92,Garches,http://fr.feedbooks.com/publicdomain,,Librairie 100% numérique gratuite,Livres,Tous publics,Livres numériques,"Littérature, sciences humaines, langues",,Toute une vie ne suffit pas,Accès permanent
808,Festival Correspondances Manosque La Poste,04100,04,Manosque,http://correspondances-manosque.org/category/ecouter_voir/videos/,,Entretiens avec des écrivains,Approfondir ses connaissances,Tous publics,"Vidéo, flux en direct, programmes en différé","Littérature, sciences humaines, langues",,Le temps d’un vrai déjeuner,Accès permanent
845,Grand Patrimoine de Loire-Atlantique,44300,44,Nantes,https://grand-patrimoine.loire-atlantique.fr/espace-enseignants,,Ressources pédagogiques en ligne,Approfondir ses connaissances,Parents / Éducateurs,Ressources pédagogiques,"Architecture et patrimoine,Monuments historiques,Musées",,Le temps d’une soirée,Accès permanent
1003,Musée de La Poste,75001,75,Paris,https://www.museedelaposte.fr/,,Expositions en ligne,Approfondir ses connaissances,Tous publics,"Ressources pédagogiques,Images, collections numérisées, bases de données","Éducation artistique et culturelle,Histoire,Musées",,Le temps de manger un sandwich pendant une pause déjeuner,Accès permanent
1026,Musée des Confluences,69007,69,Lyon,https://www.museedesconfluences.fr/fr/les-ressources-1,,Explorateur de ressources en ligne,"Expos, musées",Tous publics,"Images, collections numérisées, bases de données","Archéologie,Musées",,Le temps de manger un sandwich pendant une pause déjeuner,Accès permanent
1055,Musée national de l'histoire de l'immigration (EPPD),75001,75,Paris,https://www.histoire-immigration.fr/ressources,,Ressources en ligne,"Expos, musées",Tous publics,"Images, collections numérisées, bases de données","Histoire,Littérature, sciences humaines, langues,Musées",,Le temps d’une soirée,Accès permanent
1292,La Scène Watteau,94130,94,Nogent-sur-Marne,https://www.scenewatteau.fr/project/podcasts-de-salut-public/,,Les podcasts de salut public,Audios,Tous publics,"Audio, radio, podcasts","Littérature, sciences humaines, langues",,Le temps de manger un sandwich pendant une pause déjeuner,Accès permanent
1301,Pôle d'archéologie Orléans,45000,45,Orleans,http://archeologie.orleans-metropole.fr/,,Musée virtuel,Approfondir ses connaissances,Tous publics,Expositions virtuelles,"Archéologie,Architecture et patrimoine","Transcription textuelle,Jeu utilisant du HTML,Navigation au clavier,Facile à lire et à comprendre (FALC)",Le temps d’une soirée,Accès permanent
1308,Beaux Arts Magazine (Beaux Arts & Cie),75001,75,Paris,https://www.beauxarts.com/evenement/culture-chez-nous/,,Magazine numérique gratuit,Approfondir ses connaissances,Tous publics,"Images, collections numérisées, bases de données","Architecture et patrimoine,Art urbain (graph, hip hop, street art…),Arts décoratifs, design, métiers d’art,Arts visuels,Bande dessinée,Peinture,Photographie,Sculpture",,Toute une vie ne suffit pas,Accès permanent
1341,TV5 Monde,75001,75,Paris,https://culture.tv5monde.com/arts-et-spectacles/quesaco,,Quèsaco,"Films, documentaires, vidéos",Tous publics,"Vidéo, flux en direct, programmes en différé","Arts visuels,Peinture,Musées",,Le temps de manger un sandwich pendant une pause déjeuner,Accès permanent
1382,Musée du Louvre,75001,75,Paris,https://mooc-culturels.fondationorange.com/enrol/synopsis/index.php?id=26,,MOOCs Culturels,"Expos, musées",Tous publics,"Vidéo, flux en direct, programmes en différé","Architecture et patrimoine,Musées,Peinture,Sculpture",,Le temps d’un vrai déjeuner,Accès permanent
1401,Fonds régionaux d'art contemporain,75001,75,Paris,http://www.lescollectionsdesfrac.fr/,,Les collections des FRAC,Approfondir ses connaissances,Tous publics,72.0,"Arts décoratifs, design, métiers d’art,Arts visuels,Photographie",,Le temps de manger un sandwich pendant une pause déjeuner,Accès permanent
1417,Audiovisit,69300,69,Caluire-et-Cuire,https://shows.acast.com/le-son-de-peinture/episodes,,Le son de peinture,Audios,Tous publics,"Audio, radio, podcasts","Arts visuels,Musées,Peinture",,Le temps d’une soirée,Accès permanent
1640,Réunion des Musées Métropolitains Rouen Normandie,76000,76,Rouen,https://my.matterport.com/show/?m=GwPv5LT2UVs,,Exposition virtuelle - François Depeaux L'homme aux 600 tableaux,"Expos, musées",Tous publics,"Images, collections numérisées, bases de données,Expositions virtuelles","Arts visuels,Musées,Peinture",,Le temps d’un vrai déjeuner,Accès permanent
1815,Musée d'art moderne et contemporain Saint-Étienne Métropole,42270,42,Saint-Priest-En-Jarez,https://oeuvresoeur.fr/,,"Jeu numérique ""Trouve ton oeuvre soeur""",Jeux,Tous publics,Jeux,"Arts visuels,Éducation artistique et culturelle,Musées,Peinture,Photographie,Sculpture",,Le temps de manger un sandwich pendant une pause déjeuner,Accès permanent
1874,Réseau Diagonal,13002,13,Marseille,https://reseau-diagonal.com/podcasts-un-reseau-la-croisee-des-chemins-et-des-images#podcasts-entete,,Podcast Diagonal,Audios,Tous publics,"Audio, radio, podcasts,Création et pratiques artistiques","Arts visuels,Éducation artistique et culturelle,Photographie",,Le temps de manger un sandwich pendant une pause déjeuner,Accès permanent
1951,Philharmonie de Paris,75001,75,Paris,https://pad.philharmoniedeparis.fr/genre-jeunes-familles.aspx?_ga=2.56889514.1835102594.1606723978-1658458088.1558550014&fbclid=,,Concerts et Jeux famille,Approfondir ses connaissances,Parents / Éducateurs,"Vidéo, flux en direct, programmes en différé,Audio, radio, podcasts,Jeux","Musique, concerts et opéras",,Le temps d’une soirée,Accès permanent
2208,Association e-Enfance,75001,75,Paris,https://quiz-digital-incollables.playbac.fr/deviens-un-super-heros-du-net/39,,Les Incollables,Approfondir ses connaissances,Tous publics,"Ressources pédagogiques,Jeux",Éducation aux médias,Navigation au clavier,Le temps d’un vrai déjeuner,Accès permanent
2220,Espace de l'Art Concret,06370,06,Mouans-Sartoux,https://www.youtube.com/channel/UCahwNEGdmhd1vBBBbmQoLbA,,Chaîne Youtube,Approfondir ses connaissances,Tous publics,"Vidéo, flux en direct, programmes en différé",Arts visuels,Sous-titrage,Le temps d’un vrai déjeuner,Accès permanent
2317,Visite 360 Pro,59110,59,La Madeleine,https://iss360.ovh/,,Visite virtuelle de Station Spatiale Internationale (ISS),"Films, documentaires, vidéos",Tous publics,"Vidéo, flux en direct, programmes en différé,Ressources pédagogiques",Sciences,Navigation au clavier,Le temps d’un vrai déjeuner,Accès permanent
2370,Les Livreurs,75001,75,Paris,https://leslivreurs.com/solo-theatre/,,Solos théâtre,"Concerts, spectacles",Tous publics,"Vidéo, flux en direct, programmes en différé","Théâtre, Spectacles",,Le temps d’une soirée,Accès permanent
2377,Centre des arts,95880,95,Enghien Les Bains,https://www.youtube.com/user/Cine70s/videos,,Ciné club Jean-Baptiste Thoret,Approfondir ses connaissances,Parents / Éducateurs,"Cours en ligne, cours en ligne ouverts et massifs, conférences, tutoriels","Cinéma,Éducation artistique et culturelle",,Le temps d’une soirée,Accès permanent
2387,ARTE,67075,67,Strasbourg,https://www.arte.tv/fr/videos/RC-014077/28-minutes/,,Désintox,"Films, documentaires, vidéos",Tous publics,"Vidéo, flux en direct, programmes en différé",Éducation aux médias,,Le temps de manger un sandwich pendant une pause déjeuner,Accès permanent
2560,Musée Jacquemart-André,75001,75,Paris,https://www.musee-jacquemart-andre.com/fr/decouvrir/collection-en-video,,Cultissime! web série sur les oeuvres majeures du Musée,"Films, documentaires, vidéos",Tous publics,"Vidéo, flux en direct, programmes en différé",Arts visuels,,Le temps de manger un sandwich pendant une pause déjeuner,Accès permanent
2631,Opéra national de Paris,75001,75,Paris,https://www.operadeparis.fr/magazine/series,,Les Séries de Octave Magazine,"Films, documentaires, vidéos",Tous publics,"Vidéo, flux en direct, programmes en différé,Audio, radio, podcasts","Danse,Musique, concerts et opéras",,Le temps de manger un sandwich pendant une pause déjeuner,Accès permanent
2637,Fondation des arts florissants-William Christie,85210,85,Thiré,https://youtube.com/playlist?list=PL8ltSP2mqeAiQrZ6rc_WwkZt_cdHlOdpf,,#ArtsFloTuto,Approfondir ses connaissances,Tous publics,"Cours en ligne, cours en ligne ouverts et massifs, conférences, tutoriels","Architecture et patrimoine,Histoire,Musique, concerts et opéras,Parcs et jardins",,Le temps de manger un sandwich pendant une pause déjeuner,Accès permanent
583,Archives départementales - Ardèche,07000,07,Privas,https://archives.ardeche.fr/,,Déambulations virtuelles,Approfondir ses connaissances,Tous publics,"Images, collections numérisées, bases de données,Livres numériques,Jeux,Expositions virtuelles",Archives,Navigation au clavier,Le temps d’une soirée,Accès permanent
734,Cinémathèque de Grenoble,38000,38,Grenoble,https://www.cinemathequedegrenoble.fr/actualites/cinematheque/ateliers-en-ligne/,,Ateliers sur l’Histoire du cinéma,Approfondir ses connaissances,Parents / Éducateurs,Ressources pédagogiques,Cinéma,,Le temps d’une soirée,Accès permanent
750,CLEMI - Centre de Liaison de l'Enseignement et des Médias d'Information,75001,75,Paris,https://www.clemi.fr/fr/ressources/nos-ressources-videos.html,,Analyser les médias,"Actualités, débats",Parents / Éducateurs,"Vidéo, flux en direct, programmes en différé",Éducation aux médias,,Le temps de manger un sandwich pendant une pause déjeuner,Accès permanent
887,La Piscine - Musée d'art et d'industrie André Diligent de Roubaix,59100,59,Roubaix,https://my.matterport.com/show/?m=NCss1NB7uMo,,Visite immersive,"Expos, musées",Tous publics,Expositions virtuelles,Architecture et patrimoine,,Le temps d’un vrai déjeuner,Accès permanent
916,Le Quai - Centre Dramatique National,49100,49,Angers,https://www.youtube.com/user/QuaiTV/featured,,La TV du Quai,"Concerts, spectacles",Tous publics,"Vidéo, flux en direct, programmes en différé","Théâtre, Spectacles",,Le temps d’une soirée,Accès permanent
923,Lugdunum - musée et théâtres romains,69005,69,Lyon,https://lugdunum.grandlyon.com/fr/Decouvrir/Les-collections,,Collections en ligne,"Expos, musées",Tous publics,"Images, collections numérisées, bases de données","Sculpture,Musées",,Le temps d’un vrai déjeuner,Accès permanent
935,Médiathèque,64100,64,Bayonne,https://mediatheque.bayonne.fr/iguana/www.main.cls?surl=patrimoine,,Archives numériques,"Expos, musées",Tous publics,"Images, collections numérisées, bases de données",Archives,,Le temps d’un vrai déjeuner,Accès permanent
983,Musée d'Orsay,75001,75,Paris,https://www.petitsmo.fr/,,Les petits M’O,"Expos, musées",Enfants,Expositions virtuelles,"Musées,Peinture,Sculpture",,Le temps d’un vrai déjeuner,Accès permanent
989,Musée de Bretagne,35011,35,Rennes,http://www.collections.musee-bretagne.fr/,,Des collections en partage,"Expos, musées",Tous publics,"Images, collections numérisées, bases de données",Musées,,Le temps d’un vrai déjeuner,Accès permanent
1006,Musée de minéralogie MINES ParisTech,75001,75,Paris,https://www.youtube.com/channel/UClms_bD4vM527ZQUyrH5Yew,,Chaine youtube Minéralotech Musée de Minéralogie,Approfondir ses connaissances,Tous publics,"Vidéo, flux en direct, programmes en différé",Sciences,,Le temps de manger un sandwich pendant une pause déjeuner,Accès permanent
1040,Musée du quai Branly - Jacques Chirac,75001,75,Paris,http://www.quaibranly.fr/fr/informations-pratiques/aller-plus-loin/outils-de-visite/les-experts-quai-branly/,,Les experts du Quai Branly,"Expos, musées",Enfants,Expositions virtuelles,"Arts visuels,Musées,Sculpture",,Le temps d’un vrai déjeuner,Accès permanent
1064,Musée national Jean-Jacques Henner,75001,75,Paris,https://museehenner.wordpress.com/,,Dans l’intimité de Marcel Proust,"Expos, musées",Tous publics,"Images, collections numérisées, bases de données,Jeux,Expositions virtuelles,Création et pratiques artistiques","Littérature, sciences humaines, langues",,Le temps de manger un sandwich pendant une pause déjeuner,Accès permanent
1066,Musée Rodin,75001,75,Paris,http://enfer.musee-rodin.fr/fr/home,,La Porte de l'Enfer,"Expos, musées",Tous publics,"Images, collections numérisées, bases de données","Architecture et patrimoine,Musées,Sculpture",,Le temps de manger un sandwich pendant une pause déjeuner,Accès permanent
1068,Musée Rodin,75001,75,Paris,http://egypte.musee-rodin.fr/,,Rodin et l'art egyptien,"Expos, musées",Tous publics,"Images, collections numérisées, bases de données","Musées,Sculpture",,Le temps de manger un sandwich pendant une pause déjeuner,Accès permanent
1079,Muséum d'histoire naturelle,75001,75,Paris,https://www.mnhn.fr/fr/explorez/actualites/culture-chez-nous-ressources-museum,,#Culturecheznous : les ressources du muséum,Approfondir ses connaissances,Tous publics,Ressources pédagogiques,"Parcs et jardins,Musées,Sciences",,Toute une vie ne suffit pas,Accès permanent
1249,Musée d'Orsay,75001,75,Paris,https://www.musee-orsay.fr/fr/outils-transversaux/galerie-video/1-minute-au-musee.html,,1 minute au musée,Approfondir ses connaissances,Enfants,"Vidéo, flux en direct, programmes en différé",Musées,,Le temps de manger un sandwich pendant une pause déjeuner,Accès permanent
1272,SICD - Université fédérale Toulouse Midi-Pyrénées,31000,31,Toulouse,https://tolosana.univ-toulouse.fr/fr/corpus,,Tolosana : la bibliothèque numérique,"Expos, musées",Tous publics,"Images, collections numérisées, bases de données","Architecture et patrimoine,Histoire,Littérature, sciences humaines, langues",,Toute une vie ne suffit pas,Accès permanent
1283,Archives départementales - Morbihan,56000,56,Vannes,https://archives.morbihan.fr/voyagez-dans-le-temps/voyagez-dans-le-temps/,,Archives en ligne,Approfondir ses connaissances,Tous publics,"Images, collections numérisées, bases de données",Archives,,Le temps d’une soirée,Accès permanent
1332,Studio Sherlock - Le patrimoine en mouvement,44200,44,Nantes,https://www.youtube.com/channel/UCrzn4KoThS7ffsr_03cJFqg,,Studio Sherlock sur Youtube,"Films, documentaires, vidéos",Tous publics,"Vidéo, flux en direct, programmes en différé","Archéologie,Architecture et patrimoine",,Le temps de manger un sandwich pendant une pause déjeuner,Accès permanent
1402,Tastr,75020,75,Florac,https://tastr.us/classic,,Découvrez gratuitement un classique du cinéma ce soir !,"Films, documentaires, vidéos",Tous publics,"Vidéo, flux en direct, programmes en différé","Arts numériques,Audiovisuel,Cinéma",,Toute une vie ne suffit pas,Accès permanent
1447,Musées en Centre-Val de Loire,45000,45,Orléans,https://webmuseo.com/ws/musee-blois/app/collection/expo/1,,Parcours dans les collections,"Expos, musées",Tous publics,Expositions virtuelles,Sciences,,Le temps d’une soirée,Accès permanent
1513,"URCAUE AURA - Union régionale des Conseil de l'Architecture, de l'Urbanisme et de l'Environnement",69001,69,Lyon,https://www.artsenpaysages-aura.com/,Primaire|Collège|Lycée,Arts en paysages - balade paysagère et artistique,"Expos, musées",Tous publics,Ressources pédagogiques,"Art urbain (graph, hip hop, street art…),Éducation artistique et culturelle,Parcs et jardins,Photographie",Facile à lire et à comprendre (FALC),Le temps d’un week-end,Accès permanent
1518,"Mille formes, Centre d'initiation à l'art pour les 0-6 ans",63000,63,Clermont-Ferrand,https://www.youtube.com/channel/UCuAa-Ucf2HovtE2yhucX11Q/videos?view=0&sort=dd&shelf_id=1,Primaire,Les petites histoires de Mille formes,"Films, documentaires, vidéos",Enfants,"Vidéo, flux en direct, programmes en différé",Arts visuels,,Le temps de manger un sandwich pendant une pause déjeuner,Accès permanent
1533,la Danse des Mots - Théâtre et Cie,92160,92,Antony,https://www.youtube.com/playlist?list=PLI2Y9LPp9kx_K1465BP6Bvw_qSmsUkWlm,,Mots dansés au creux de votre oreille,Partager ses passions,Tous publics,"Vidéo, flux en direct, programmes en différé,Audio, radio, podcasts","Littérature, sciences humaines, langues",Sous-titrage,Le temps de manger un sandwich pendant une pause déjeuner,Accès permanent
1611,Culture accessible,69380,69,Chazay d'azergues,https://www.cultureaccessible.fr/pages/realisations/audioguide-et-audiodescription-publications-documents-de-communication.html,,Livrets de visite en FALC ( Facile à lire et à comprendre),Approfondir ses connaissances,Tous publics,Ressources pédagogiques,"Architecture et patrimoine,Arts décoratifs, design, métiers d’art,Arts visuels,Monuments historiques,Musées,Peinture,Sciences,Sculpture",Facile à lire et à comprendre (FALC),Le temps d’une soirée,Accès permanent
2115,Ecole supérieure de journalisme de Lille,59000,59,Lille,https://www.youtube.com/playlist?list=PLuNX667EgJXm1vBYGp_SZr78fM31lNb3m,,Clash médias,"Films, documentaires, vidéos",Tous publics,"Vidéo, flux en direct, programmes en différé",Éducation aux médias,,Le temps de manger un sandwich pendant une pause déjeuner,Accès permanent
2120,Région Occitanie,34000,34,Montpellier,http://patrimoines.laregion.fr/visites-virtuelles/PetitBestiaire//index.html,,Petit bestiaire en Occitanie,Approfondir ses connaissances,Tous publics,Ressources pédagogiques,"Architecture et patrimoine,Arts numériques","Audiodescription (AD),Facile à lire et à comprendre (FALC)",Le temps d’une soirée,Accès permanent
2141,Lafayette Anticipations - Fondation d'entreprise Galeries Lafayette,75001,75,Paris,https://www.lafayetteanticipations.com/fr/mediatheque,,"Voir, écouter","Concerts, spectacles",Tous publics,"Vidéo, flux en direct, programmes en différé,Audio, radio, podcasts",Audiovisuel,,Le temps d’un vrai déjeuner,Accès permanent
2226,DAC Mayotte,97600,97,Mamoudzou,https://www.culture.gouv.fr/Regions/Dac-Mayotte/Publications-ressources-communication/Les-ressources/Les-videos,,Mayotte art et histoire,"Films, documentaires, vidéos",Tous publics,"Vidéo, flux en direct, programmes en différé","Archéologie,Art urbain (graph, hip hop, street art…),Arts visuels,Danse,Histoire,Littérature, sciences humaines, langues,Musique, concerts et opéras,Sciences",,Le temps de manger un sandwich pendant une pause déjeuner,Accès permanent
2282,Musée de la Romanité,30000,30,Nîmes,https://impakt-360.com/Visite_Virtuelle_Du_Musee_De_La_Romanite/,,Le Musée de la Romanité comme vous ne l’avez jamais visité !,"Expos, musées",Tous publics,Expositions virtuelles,"Archéologie,Architecture et patrimoine,Musées",,Le temps d’une soirée,Accès permanent
594,Archives départementales - Dordogne,24000,24,Périgueux,https://vimeo.com/showcase/2921935,,Conférences des Archives de la Dordogne,Approfondir ses connaissances,Tous publics,"Vidéo, flux en direct, programmes en différé,Ressources pédagogiques,Cours en ligne, cours en ligne ouverts et massifs, conférences, tutoriels,Images, collections numérisées, bases de données","Archéologie,Architecture et patrimoine,Archives",,Le temps d’un vrai déjeuner,Accès permanent
621,Archives départementales - Var,83300,83,Draguignan,https://archives.var.fr/article.php?larub=97&titre=rechercher-dans-les-archives-numerisees-et-les-inventaires,,Archives en ligne,Approfondir ses connaissances,Tous publics,"Images, collections numérisées, bases de données",Archives,,Le temps d’une soirée,Accès permanent
653,Association ÉCLAT - Centre National des Arts de la Rue et de l'Espace Public,15000,15,AURILLAC,https://vimeo.com/channels/leparapluie,,Entre Vue au Parapluie,"Concerts, spectacles",Tous publics,"Vidéo, flux en direct, programmes en différé","Arts du cirque, arts de la rue",,Le temps d’une soirée,Accès permanent
715,Centre national des arts plastiques (CNAP),93500,93,Pantin,https://www.cnap.fr/actualites/actions-culturelles/outils-pedagogiques/outils-pedagogiques,,Les kits pédagogiques,Approfondir ses connaissances,Parents / Éducateurs,Ressources pédagogiques,Arts visuels,,Le temps d’une soirée,Accès permanent
720,Centre national du costume de scène et de la scénographie,03000,03,Moulins,https://cncs-wm.com/ws/cncs-collections/app/collection?vc=ePkH4LF7w6yegKUHAE_6BrE$,,Explorez les collections,"Expos, musées",Tous publics,"Images, collections numérisées, bases de données",Mode,,Le temps d’un vrai déjeuner,Accès permanent
804,Fédération des Actrices et Acteurs des Musiques et Danses Traditionnelles (FAMDT),44000,44,Nantes,http://stq4s52k.es-02.live-paas.net/,,Portail du patrimoine oral,Audios,Tous publics,"Audio, radio, podcasts","Littérature, sciences humaines, langues,Histoire",,Le temps d’une soirée,Accès permanent
937,Médiathèque Jacques-Chirac,10000,10,Troyes,https://www.bibliotheque-bleue-danslacite.fr/,,La Bibliothèque bleue dans la cité,"Expos, musées",Tous publics,Expositions virtuelles,"Architecture et patrimoine,Histoire","Transcription textuelle,Navigation au clavier",Le temps d’un vrai déjeuner,Accès permanent
1033,Musée du Louvre,75001,75,Paris,https://www.youtube.com/channel/UC798Pjc9IKDGROb3XFpOKhg,,1mn au musée,"Films, documentaires, vidéos",Tous publics,"Vidéo, flux en direct, programmes en différé","Architecture et patrimoine,Archéologie,Peinture,Sculpture,Musées",,Le temps de manger un sandwich pendant une pause déjeuner,Accès permanent
1091,ODIL,71300,71,Montceau les mines,http://odil.tv,Collège|Lycée,ODIL - Média d'action en Saône et Loire,"Films, documentaires, vidéos",Tous publics,"Vidéo, flux en direct, programmes en différé,Audio, radio, podcasts,Ressources pédagogiques","Art urbain (graph, hip hop, street art…),Arts visuels,Cinéma,Littérature, sciences humaines, langues,Musique, concerts et opéras",,Le temps d’un vrai déjeuner,Accès permanent
1116,Orchestre Régional Avignon-Provence,84093,84,Avignon,https://www.youtube.com/user/OrchestreAvignon/featured,,En tête à tête avec l'Orchestre !,Approfondir ses connaissances,Tous publics,"Vidéo, flux en direct, programmes en différé","Musique, concerts et opéras",Sous-titrage (ST),Le temps d’un vrai déjeuner,Accès permanent
1188,Théâtre de la Tempête,75012,75,PARIS,https://soundcloud.com/user-39123371/sets/bibliotheque-des-paroles,,Bibliothèque de paroles glanées,Audios,Tous publics,"Audio, radio, podcasts","Théâtre, Spectacles",,Le temps de manger un sandwich pendant une pause déjeuner,Accès permanent
