Identifiant (ID),Nom de l'organisme,Code postal,Département,Commune,Lien vers la ressource,"si ""enfants"", merci de préciser le niveau scolaire",Titre de la ressource,"Activité proposée (apprendre, se divertir, s’informer,...)",Public cible,Types de ressources proposées,Thématiques,Contenus adaptés aux types de handicap,"Temps d’activité estimé (lecture, écoute, visionnage, jeu)",Pérennité de la ressource
1894,Centre Wallonie-Bruxelles,75001,75,Paris,https://www.cwb.fr/le-cwb/visites-virtuelles,,Visites virtuelles 360°,"Expos, musées",Tous publics,Expositions virtuelles,Arts visuels,,Le temps de manger un sandwich pendant une pause déjeuner,Accès permanent
2287,Transmusicales,35000,35,Rennes,https://explore.lestrans.com/#/,,Trans Music Maps,"Concerts, spectacles",Tous publics,"Vidéo, flux en direct, programmes en différé,Audio, radio, podcasts","Musique, concerts et opéras",,Toute une vie ne suffit pas,Accès permanent
2394,Réunion des musées nationaux - Grand Palais (Rmn-GP),75001,75,Paris,https://mooc-culturels.fondationorange.com/enrol/synopsis/index.php?id=322,,Peintres femmes à travers les âges,Approfondir ses connaissances,Tous publics,"Cours en ligne, cours en ligne ouverts et massifs, conférences, tutoriels","Arts visuels,Peinture",,Le temps d’un week-end,Accès permanent
2406,Région Occitanie,34000,34,Montpellir,https://patrimoines.laregion.fr/decouvrir-le-patrimoine/creations-numeriques/index.html,,Patrimoines en Occitanie,Approfondir ses connaissances,Tous publics,"Ressources pédagogiques,Images, collections numérisées, bases de données,Jeux,Expositions virtuelles","Archéologie,Architecture et patrimoine,Arts numériques,Histoire,Monuments historiques,Musées,Parcs et jardins","Jeu utilisant du HTML,Navigation au clavier,Facile à lire et à comprendre (FALC)",Toute une vie ne suffit pas,Accès permanent
2410,France Télévisions,75001,75,Paris,https://www.lumni.fr/programme/justin-fox,,Justin Fox,"Films, documentaires, vidéos",Tous publics,"Vidéo, flux en direct, programmes en différé",Éducation aux médias,,Le temps de manger un sandwich pendant une pause déjeuner,Accès permanent
2416,Théâtre du Rond-Point / Télérama,75001,75,Paris,https://www.telerama.fr/monde/de-jean-dujardin-a-ovidie%2C-25-rencontres-de-telerama-dialogue-2018-a-revivre-en-integralite%2Cn5,,25 rencontres de Télérama Dialogue 2018,"Actualités, débats",Tous publics,"Audio, radio, podcasts","Littérature, sciences humaines, langues,Musique, concerts et opéras,Théâtre, Spectacles",,Le temps d’une soirée,Accès permanent
2432,Centre Pompidou - Metz,57000,57,Metz,https://centrepompidou-metz.fr/Carnet_L'artenjeux_web.pdf,,Carnet L'art en jeux,Jeux,Tous publics,Jeux,"Arts visuels,Musées",,Le temps d’un vrai déjeuner,Accès permanent
2464,Radio France,75001,75,Paris,https://www.interclassup.fr,,Interclass'Up,Audios,Tous publics,"Vidéo, flux en direct, programmes en différé,Audio, radio, podcasts",Éducation aux médias,,Le temps d’une soirée,Accès permanent
2531,Musées Gadagne,69005,69,Lyon,https://www.gadagne-lyon.fr/mam/voir-faire-ecouter,,"À voir, à faire, à écouter",Jeux,Enfants,"Vidéo, flux en direct, programmes en différé,Ressources pédagogiques,Jeux","Arts décoratifs, design, métiers d’art,Arts du cirque, arts de la rue,Théâtre, Spectacles",,Le temps de manger un sandwich pendant une pause déjeuner,Accès permanent
2632,Opéra national de Paris,75001,75,Paris,https://chezsoi.operadeparis.fr/3e-scene,,3ème Scène,"Films, documentaires, vidéos",Tous publics,"Vidéo, flux en direct, programmes en différé","Danse,Musique, concerts et opéras,Théâtre, Spectacles",,Le temps de manger un sandwich pendant une pause déjeuner,Accès permanent
