Nom du festival;Région principale de déroulement;Département principal de déroulement;Code postal (de la commune principale de déroulement);Année de création du festival;Discipline dominante;Période principale de déroulement du festival;Identifiant;Géocodage xy
Éclat(s) d'été;Provence-Alpes-Côte d'Azur;Hautes-Alpes;5000;;Musique;Saison (21 juin - 5 septembre);FEST_05061_2348;44.5798600596, 6.06486052138
We Love Green Festival;Île-de-France;Paris;75012;2011;Musique;Avant-saison (1er janvier - 20 juin);FEST_75112_4891;48.8351562307, 2.41980703497
Sent Joan beth e Gran;Occitanie;Ariège;9800;1998;Pluridisciplinaire;Saison (21 juin - 5 septembre);FEST_09290_6330;42.8358878297, 0.920341995173
Image sonore;Bourgogne-Franche-Comté;Côte-d'Or;21150;2019;Musique;Saison (21 juin - 5 septembre);FEST_21008_146;47.5355145985, 4.48820121343
À la Folie... Pas du Tout !;Auvergne-Rhône-Alpes;Ain;1000;2011;Musique;Saison (21 juin - 5 septembre);FEST_01053_974;46.2051520382, 5.24602125501
Les Musicales de Louvergny;Grand Est;Ardennes;8130;;Musique;Avant-saison (1er janvier - 20 juin);FEST_08244_2934;49.5265430662, 4.68902629394
Automne Musical du Vésinet;Île-de-France;Yvelines;78110;01/01/2015 00:00;Musique;Après-saison (6 septembre - 31 décembre);FEST_78650_3204;48.8938640591, 2.13039312004
Festival Latino;Occitanie;Ariège;9400;;Spectacle vivant;Saison (21 juin - 5 septembre);FEST_09306_6509;42.8461514685, 1.59648461871
Les nuits de la poterie;Auvergne-Rhône-Alpes;Ain;1680;2017;Musique;Saison (21 juin - 5 septembre);FEST_01216_3298;45.7444141403, 5.53602066955
Zikametz;Grand Est;Moselle;57000;01/01/2004 00:00;Musique;Saison (21 juin - 5 septembre);FEST_57463_3885;49.1081133279, 6.1955245421
Haute Fréquence;Hauts-de-France;Aisne;2430;2016;Musique;Après-saison (6 septembre - 31 décembre);FEST_02340_2369;49.8234688599, 3.28649189661
Festival Saint Rock;Bourgogne-Franche-Comté;Saône-et-Loire;71800;2010;Musique;Saison (21 juin - 5 septembre);FEST_71133_2741;46.2892944317, 4.31079967145
Festival La Revoyure;Normandie;Orne;61600;2018;Musique;Saison (21 juin - 5 septembre);FEST_61168_2763;48.581835018, -0.366879794994
Cours z'y vite;Grand Est;Aube;10300;01/01/2002 00:00;Spectacle vivant;Avant-saison (1er janvier - 20 juin);FEST_10362_5799;48.2963408998, 4.02333022061
La Boite à matos;Occitanie;Ariège;9800;2016;Pluridisciplinaire;Après-saison (6 septembre - 31 décembre);FEST_09014_321;42.924142227, 0.990874865954
Été Musical à Dinan;Bretagne;Côtes-d'Armor;22100;2009;Musique;Saison (21 juin - 5 septembre);FEST_22050_1998;48.4557709953, -2.04816149693
Fables lab;Provence-Alpes-Côte d'Azur;Alpes-Maritimes;6400;2016;Spectacle vivant;Avant-saison (1er janvier - 20 juin);FEST_06029_1212;43.5526202843, 7.00427592728
Festival de l'humour;Centre-Val de Loire;Loiret;45500;2004;Spectacle vivant;Après-saison (6 septembre - 31 décembre);FEST_45155_2395;47.71227944, 2.66549550204
Festival Lily;Guadeloupe;Guadeloupe;97190;2020;Musique;Après-saison (6 septembre - 31 décembre);FEST_97113_2419;16.2252192032, -61.4698776652
Une belle saloperie;Auvergne-Rhône-Alpes;Isère;38000;;Cinéma, audiovisuel;Avant-saison (1er janvier - 20 juin);FEST_38185_2487;45.1821215167, 5.72133051752
Festival Aux Champs;Nouvelle-Aquitaine;Corrèze;19330;1988;Musique;Saison (21 juin - 5 septembre);FEST_19042_1468;45.3124205901, 1.6226623783
Festival du rire;Provence-Alpes-Côte d'Azur;Var;83700;2010;Spectacle vivant;Saison (21 juin - 5 septembre);FEST_83118_2789;43.4574625431, 6.84734210398
Au Grès Du Jazz;Grand Est;Bas-Rhin;67270;2002;Musique;Saison (21 juin - 5 septembre);FEST_67371_2804;48.8657597248, 7.32734776032
Festival international de vidéo danse de Bourgogne;Bourgogne-Franche-Comté;Saône-et-Loire;71670;2009;Cinéma, audiovisuel;Avant-saison (1er janvier - 20 juin);FEST_71059_3042;46.7952744773, 4.49374098192
Les Rencontres nationales du Havre sur les séries;Normandie;Seine-Maritime;76600;2013;Cinéma, audiovisuel;Après-saison (6 septembre - 31 décembre);FEST_76351_3098;49.498452502, 0.140153719153
Fest' Arts;Nouvelle-Aquitaine;Gironde;33500;1992;Spectacle vivant;Saison (21 juin - 5 septembre);FEST_33243_3301;44.9130767869, -0.234709332068
Passions d'avril;Hauts-de-France;Nord;59000;2006;Livre, littérature;Avant-saison (1er janvier - 20 juin);FEST_59350_3358;50.6317183168, 3.04783272312
Festival International de Jazz à Louviers;Normandie;Eure;27400;2006;Musique;Avant-saison (1er janvier - 20 juin);FEST_27375_3478;49.2206099164, 1.15340030158
Les arts verts;Provence-Alpes-Côte d'Azur;Bouches-du-Rhône;13420;2003;Musique;Saison (21 juin - 5 septembre);FEST_13042_2374;43.2981044185, 5.64391464048
Festival de musique de chambre;Bourgogne-Franche-Comté;Haute-Saône;71000;2007;Musique;Saison (21 juin - 5 septembre);FEST_71270_3598;46.3205511756, 4.81842529639
Montluçon Art Digital;Auvergne-Rhône-Alpes;Allier;3100;3ème;Arts visuels, arts numériques;Saison (21 juin - 5 septembre);FEST_03187_4053;46.3375770064, 3.45102443628
Sofilm Summercamp;Pays de la Loire;Loire-Atlantique;44000;2015;Cinéma, audiovisuel;Saison (21 juin - 5 septembre);FEST_44109_4322;47.2316356767, -1.54831008605
Ornai'songs;Occitanie;Aude;11200;2015;Musique;Saison (21 juin - 5 septembre);FEST_11267_4559;43.1784619561, 2.83659066279
Tribu festival;Bourgogne-Franche-Comté;Côte-d'Or;21000;1996;Musique;Après-saison (6 septembre - 31 décembre);FEST_21231_1994;47.3229437965, 5.03788805877
Rock en Stock;Hauts-de-France;Pas-de-Calais;62630;1999;Musique;Saison (21 juin - 5 septembre);FEST_62318_2141;50.5235816785, 1.65199985504
Hoop' Festival;Nouvelle-Aquitaine;Dordogne;24160;2016;Musique;Saison (21 juin - 5 septembre);FEST_24164_2166;45.3293054433, 1.06217894627
Les Renc'Arts à Pornichet;Pays de la Loire;Loire-Atlantique;44380;1996;Spectacle vivant;Saison (21 juin - 5 septembre);FEST_44132_5180;47.2615791665, -2.31415650821
Rue des livres;Bretagne;Ille-et-Vilaine;35000;2008;Livre, littérature;Avant-saison (1er janvier - 20 juin);FEST_35238_5400;48.1119791219, -1.68186449144
Les Voix de Noël;Pays de la Loire;Vendée;85240;2003;Musique;Après-saison (6 septembre - 31 décembre);FEST_85162_5448;46.424726987, -0.665995249042
En Images;Île-de-France;Val-d'Oise;95700;2019;Arts visuels, arts numériques;Après-saison (6 septembre - 31 décembre);FEST_95527_5481;49.00660444, 2.51417743519
Jazz'in Rosko;Bretagne;Finistère;29680;2015;Musique;Avant-saison (1er janvier - 20 juin);FEST_29239_5499;48.7123362901, -3.989722876
Festhéa;Centre-Val de Loire;Indre-et-Loire;37540;1985;Spectacle vivant;Après-saison (6 septembre - 31 décembre);FEST_37214_5723;47.4185650638, 0.657856616894
Jours de fête du court métrage d'humour;Centre-Val de Loire;Indre;36160;2007;Cinéma, audiovisuel;Après-saison (6 septembre - 31 décembre);FEST_36208_5802;46.5042219323, 2.06769602901
Blues en Loire;Bourgogne-Franche-Comté;Nièvre;58400;2002;Musique;Saison (21 juin - 5 septembre);FEST_58059_2729;47.1835862006, 3.02885515594
Festival de la Clarté Dieu;Centre-Val de Loire;Indre-et-Loire;37370;2008;Musique;Saison (21 juin - 5 septembre);FEST_37231_6085;47.5816905056, 0.466637692187
Empreinte festival;Grand Est;Haut-Rhin;68390;2018;Musique;Après-saison (6 septembre - 31 décembre);FEST_68300_6267;47.7824980107, 7.40065794746
Suresnes Cités Danse;Île-de-France;Hauts-de-Seine;92150;;Spectacle vivant;Avant-saison (1er janvier - 20 juin);FEST_92073_6482;48.8698479132, 2.21965517625
Agit Au Vert;Occitanie;Haute-Garonne;31500;2005;Spectacle vivant;Saison (21 juin - 5 septembre);FEST_31555_6623;43.5963814303, 1.43167293364
Extrême Cinéma;Occitanie;Haute-Garonne;31000;1999;Cinéma, audiovisuel;Avant-saison (1er janvier - 20 juin);FEST_31555_6639;43.5963814303, 1.43167293364
Festival international Piano aux Jacobins;Occitanie;Haute-Garonne;31000;1980;Musique;Après-saison (6 septembre - 31 décembre);FEST_31555_6659;43.5963814303, 1.43167293364
Festival Anuu Ru Aboro;Nouvelle-Calédonie;;98822;2007;Cinéma, audiovisuel;Après-saison (6 septembre - 31 décembre);FEST__7265;
Plumes d'Afrique;Centre-Val de Loire;Indre-et-Loire;37000;2015;Livre, littérature;Après-saison (6 septembre - 31 décembre);FEST_37261_6751;47.3986382281, 0.696526376417
Sucs en Scène;Auvergne-Rhône-Alpes;Haute-Loire;43200;;Musique;Saison (21 juin - 5 septembre);FEST_43268_7227;45.1393761299, 4.13104937731
Festival de l'orgue d'Argenton;Centre-Val de Loire;Indre;36200;;Musique;Saison (21 juin - 5 septembre);FEST_36006_331;46.5787862593, 1.4926283101
Armentières en bulles;Hauts-de-France;Nord;59280;2018;Livre, littérature;Avant-saison (1er janvier - 20 juin);FEST_59017_364;50.6913797537, 2.8797155328
Images Sonores;Bourgogne-Franche-Comté;Yonne;89000;1999;Musique;Saison (21 juin - 5 septembre);FEST_89024_495;47.793488225, 3.58168281761
Théâtre en Rance;Bretagne;Côtes-d'Armor;22100;1991;Spectacle vivant;Avant-saison (1er janvier - 20 juin);FEST_22050_2006;48.4557709953, -2.04816149693
Fête de l'imaginaire;Hauts-de-France;Nord;59282;2006;Livre, littérature;Avant-saison (1er janvier - 20 juin);FEST_59179_2044;50.2994352925, 3.38947295524
Vivre ensemble, tout un art !;Auvergne-Rhône-Alpes;Métropole de Lyon;69000;;Pluridisciplinaire;Avant-saison (1er janvier - 20 juin);FEST_69123_3587;45.759723, 4.842223
Le Printemps du Livre;Pays de la Loire;Vendée;85600;1988;Livre, littérature;Avant-saison (1er janvier - 20 juin);FEST_85146_3968;46.9759800852, -1.31364530268
PULP Festival;Île-de-France;Seine-et-Marne;77186;2014;Livre, littérature;Avant-saison (1er janvier - 20 juin);FEST_77337_4466;48.8460926469, 2.61997100426
Nocturnes d'Opio;Provence-Alpes-Côte d'Azur;Alpes-Maritimes;6650;;Pluridisciplinaire;Saison (21 juin - 5 septembre);FEST_06089_4521;43.6575610719, 7.00860864158
Opéra en Plein Air;Île-de-France;Paris;75007;2001;Musique;Saison (21 juin - 5 septembre);FEST_75117_4808;48.8873371665, 2.30748555949
L'art prend l'air;Centre-Val de Loire;Indre-et-Loire;37380;;Spectacle vivant;Après-saison (6 septembre - 31 décembre);FEST_37194_5425;47.4859477646, 0.872119692494
Triennale Rouen impressionnée;Normandie;Seine-Maritime;76000;2010;Arts visuels, arts numériques;Saison (21 juin - 5 septembre);FEST_76540_5535;49.4413460103, 1.09256784278
Saint-Briac en musique;Bretagne;Ille-et-Vilaine;35800;;Musique;Saison (21 juin - 5 septembre);FEST_35256_5593;48.6163388225, -2.12358766004
Meliaj;Bretagne;Côtes-d'Armor;22000;2018;Musique;Avant-saison (1er janvier - 20 juin);FEST_22278_5687;48.5149806053, -2.76154552773
Geek Ali;La Réunion;La Réunion;97400;2019;Pluridisciplinaire;Décembre;FEST_97411_5739;-20.9329708192, 55.446867167
Festival Présences;Île-de-France;Paris;75016;01/01/1991 00:00;Musique;Avant-saison (1er janvier - 20 juin);FEST_75116_4704;48.8603987604, 2.2620995594
Festival de Bourgogne du sud;Bourgogne-Franche-Comté;Saône-et-Loire;71740;2003;Musique;Saison (21 juin - 5 septembre);FEST_71463_6048;46.2267056236, 4.25094648512
Festi-Rance;Bretagne;Côtes-d'Armor;22100;2010;Musique;Saison (21 juin - 5 septembre);FEST_22327_5625;48.4914561731, -2.01805917808
Jazz à Val-Thorens;Auvergne-Rhône-Alpes;Savoie;73440;2018;Musique;Saison (21 juin - 5 septembre);FEST_74282_6914;45.9923733891, 6.28837579239
Salon plaisir de lire;Auvergne-Rhône-Alpes;Cantal;15300;1999;Livre, littérature;Avant-saison (1er janvier - 20 juin);FEST_15248_6915;45.0532332221, 2.90711082999
Salon international Peinture et Sculpture;Grand Est;Haut-Rhin;68720;;Arts visuels, arts numériques;Après-saison (6 septembre - 31 décembre);FEST_68384_7238;47.6858083083, 7.30319308149
Festival international d'art lyrique d'Aix-en-Provence;Provence-Alpes-Côte d'Azur;Bouches-du-Rhône;13100;1948;Musique;Saison (21 juin - 5 septembre);FEST_13001_44;43.5360708378, 5.39857444582
Les journées du livre;Provence-Alpes-Côte d'Azur;Bouches-du-Rhône;13100;2019;Livre, littérature;Après-saison (6 septembre - 31 décembre);FEST_13001_61;43.5360708378, 5.39857444582
Lez'arts de la rue;Occitanie;Gers;32000;2003;Arts visuels, arts numériques;Saison (21 juin - 5 septembre);FEST_32013_444;43.6534300414, 0.575190250459
Afrik' au coeur;Bourgogne-Franche-Comté;Yonne;89000;2016;Pluridisciplinaire;Après-saison (6 septembre - 31 décembre);FEST_89024_489;47.793488225, 3.58168281761
Fgreen est;Provence-Alpes-Côte d'Azur;Vaucluse;84000;2014;Musique;Saison (21 juin - 5 septembre);FEST_84007_522;43.9352448339, 4.84071572505
Terre de Danses;Nouvelle-Aquitaine;Deux-Sèvres;79250;2010;Spectacle vivant;Saison (21 juin - 5 septembre);FEST_79049_1036;46.8545755683, -0.479375922286
Rétrospective des festivals de cannes;Provence-Alpes-Côte d'Azur;Alpes-Maritimes;6150;;Cinéma, audiovisuel;Après-saison (6 septembre - 31 décembre);FEST_06029_1234;43.5526202843, 7.00427592728
Carpentras fait son cinéma;Provence-Alpes-Côte d'Azur;Vaucluse;84200;2019;Cinéma, audiovisuel;Après-saison (6 septembre - 31 décembre);FEST_84031_1276;44.0593802565, 5.06134844776
Jazz à Chabeuil;Auvergne-Rhône-Alpes;Drôme;26120;2006;Musique;Avant-saison (1er janvier - 20 juin);FEST_26064_1386;44.9082255842, 5.00743034189
Chartres en lumières;Centre-Val de Loire;Eure-et-Loir;28000;;Arts visuels, arts numériques;Saison (21 juin - 5 septembre);FEST_28085_1500;48.4471464884, 1.50570610616
Trans'urbaines;Auvergne-Rhône-Alpes;Puy-de-Dôme;63000;1997;Spectacle vivant;Après-saison (6 septembre - 31 décembre);FEST_63113_1694;45.7856492991, 3.11554542903
Jours de Danse(s);Bourgogne-Franche-Comté;Nièvre;58800;2018;Spectacle vivant;Saison (21 juin - 5 septembre);FEST_58083_1815;47.2565578889, 3.68948978336
FIAP Martinique;Martinique;Martinique;97200;2017;Spectacle vivant;Novembre;FEST_97209_2284;14.6411114389, -61.0691889244
Festival Jeune et Très Jeune Public;Île-de-France;Hauts-de-Seine;92230;2013;Pluridisciplinaire;Avant-saison (1er janvier - 20 juin);FEST_92036_2378;48.9345190548, 2.29384987973
Or notes festival;Occitanie;Hérault;46600;;Musique;Avant-saison (1er janvier - 20 juin);FEST_34114_2400;43.6393937216, 3.57384628868
Les Allées chantent;Auvergne-Rhône-Alpes;Isère;38930;2005;Musique;Avant-saison (1er janvier - 20 juin);FEST_38301_4947;44.7891162119, 5.62604125349
Théâtre en Cour(s);Auvergne-Rhône-Alpes;Ardèche;7200;2015;Spectacle vivant;Avant-saison (1er janvier - 20 juin);FEST_07190_5458;44.5184712658, 4.44840556481
Festival du livre de Nice;Provence-Alpes-Côte d'Azur;Alpes-Maritimes;6000;1996;Livre, littérature;Avant-saison (1er janvier - 20 juin);FEST_06088_4388;43.7119992661, 7.23826889465
Shalom Europa;Grand Est;Bas-Rhin;67000;01/01/2008 00:00;Cinéma, audiovisuel;Saison (21 juin - 5 septembre);FEST_67482_6467;48.5712679849, 7.76752679517
Osez le Classique;Auvergne-Rhône-Alpes;Allier;3200;;Musique;Saison (21 juin - 5 septembre);FEST_03310_7042;46.1300051383, 3.42442081174
Salon du livre;Provence-Alpes-Côte d'Azur;Bouches-du-Rhône;83420;2015;Livre, littérature;Saison (21 juin - 5 septembre);FEST_83048_1384;43.1951890718, 6.5862813598
Laterna magica;Provence-Alpes-Côte d'Azur;Bouches-du-Rhône;13001;2004;Pluridisciplinaire;Après-saison (6 septembre - 31 décembre);FEST_13055_3732;43.296346, 5.369889
Musiques d'ici et d'ailleurs à Valras-Plage;Occitanie;Hérault;34350;2016;Musique;Saison (21 juin - 5 septembre);FEST_34324_6909;43.2476112282, 3.28929431362
Les Douchynoiseries;Hauts-de-France;Nord;59282;2005;Pluridisciplinaire;Saison (21 juin - 5 septembre);FEST_59179_2045;50.2994352925, 3.38947295524
Diamant Vert;Auvergne-Rhône-Alpes;Cantal;15130;;Pluridisciplinaire;Saison (21 juin - 5 septembre);FEST_15234_6530;44.8209679734, 2.53827855316
Br'ain de cirque;Auvergne-Rhône-Alpes;Ain;1000;1997;Spectacle vivant;Après-saison (6 septembre - 31 décembre);FEST_01053_976;46.2051520382, 5.24602125501
Trad'in festival;Provence-Alpes-Côte d'Azur;Hautes-Alpes;5200;2010;Musique;Saison (21 juin - 5 septembre);FEST_05046_2095;44.5804294908, 6.47559298927
Jazz au Théâtre;Île-de-France;Seine-et-Marne;77300;;Musique;Après-saison (6 septembre - 31 décembre);FEST_77186_2252;48.4066856508, 2.68031396389
Lollapalooza;Île-de-France;Paris;75016;01/01/2017 00:00;Musique;Saison (21 juin - 5 septembre);FEST_75116_4782;48.8567, 2.3508
Paris Music Festival;Île-de-France;Paris;75001;01/01/2016 00:00;Musique;Avant-saison (1er janvier - 20 juin);FEST_75101_4829;48.8626304852, 2.33629344655
Jazzébre;Occitanie;Pyrénées-Orientales;66000;1988;Musique;Avant-saison (1er janvier - 20 juin);FEST_66136_4981;42.6965954131, 2.89936953979
Cabrioles;Auvergne-Rhône-Alpes;Ardèche;7360;;Spectacle vivant;Avant-saison (1er janvier - 20 juin);FEST_07278_6056;44.8373734527, 4.61203758015
Les deux terres;Provence-Alpes-Côte d'Azur;Alpes-Maritimes;6100;2013;Spectacle vivant;Avant-saison (1er janvier - 20 juin);FEST_06110_3047;44.1085047639, 7.02802973178
Langues de voix;Occitanie;Aude;11610;2019;Musique;Avant-saison (1er janvier - 20 juin);FEST_11279_4941;43.2513741105, 2.31315453913
Fès Jazz in Riad;Île-de-France;Yvelines;78760;;Musique;Après-saison (6 septembre - 31 décembre);FEST_78321_2668;48.7904544648, 1.90784227893
Fêtes Le Pont;Nouvelle-Aquitaine;Charente-Maritime;17000;2014;Spectacle vivant;Avant-saison (1er janvier - 20 juin);FEST_17300_2827;46.1620643972, -1.17465702836
Rencontre européenne du livre au Mont-Cenis;Auvergne-Rhône-Alpes;Savoie;73480;1999;Livre, littérature;Saison (21 juin - 5 septembre);FEST_73290_2979;45.3441528771, 6.84789108583
La Poule des Champs;Grand Est;Marne;51600;2006;Musique;Après-saison (6 septembre - 31 décembre);FEST_51019_416;49.1972757573, 4.41096827282
Été culturel du château de montmaur;Provence-Alpes-Côte d'Azur;Hautes-Alpes;5000;;Musique;Saison (21 juin - 5 septembre);FEST_05061_2349;44.5798600596, 6.06486052138
La messe de minuit;Auvergne-Rhône-Alpes;Métropole de Lyon;69000;;Musique;Après-saison (6 septembre - 31 décembre);FEST_69123_3551;45.759723, 4.842223
Lire en Polynésie;Polynésie française;;98713;27/06/1905 00:00;Livre, littérature;Novembre;FEST_98735_7265;
Lâcher d'Artistes;Île-de-France;Paris;75011;01/01/2009 00:00;Musique;Avant-saison (1er janvier - 20 juin);FEST_75111_4749;48.8567, 2.3508
Perros Jazz Festival;Bretagne;Côtes-d'Armor;22700;;Musique;Après-saison (6 septembre - 31 décembre);FEST_22168_4991;48.8094393417, -3.46769227891
L'enfance de l'art;Auvergne-Rhône-Alpes;Ardèche;7130;2002;Spectacle vivant;Avant-saison (1er janvier - 20 juin);FEST_07281_6107;44.9410716967, 4.82459034307
Festival d'humour;Auvergne-Rhône-Alpes;Ain;1450;2016;Spectacle vivant;Après-saison (6 septembre - 31 décembre);FEST_01450_7150;45.932014998, 5.22953071636
Les pontons flingueurs;Auvergne-Rhône-Alpes;Haute-Savoie;74000;2012;Livre, littérature;Saison (21 juin - 5 septembre);FEST_74010_267;45.8906432566, 6.12551773598
Team Peace Festival;Pays de la Loire;Mayenne;53210;2018;Musique;Avant-saison (1er janvier - 20 juin);FEST_53007_335;48.0906663644, -0.632122843282
Les hivernales;Provence-Alpes-Côte d'Azur;Vaucluse;84000;1978;Spectacle vivant;Avant-saison (1er janvier - 20 juin);FEST_84007_536;43.9352448339, 4.84071572505
Festival l'Estival Musical;Normandie;Calvados;14970;2020;Musique;Saison (21 juin - 5 septembre);FEST_14060_740;49.2437018681, -0.287859699989
Mardis des rives;Bourgogne-Franche-Comté;Doubs;25000;2013;Musique;Saison (21 juin - 5 septembre);FEST_25056_779;47.2553872249, 6.01948696494
Marché de la Poésie;Nouvelle-Aquitaine;Gironde;33000;1999;Livre, littérature;Avant-saison (1er janvier - 20 juin);FEST_33063_920;44.8572445351, -0.57369678116
Festival de L'Escabeau;Centre-Val de Loire;Loiret;45250;;Spectacle vivant;Après-saison (6 septembre - 31 décembre);FEST_45053_1072;47.6450008152, 2.74519258713
CinéMA 35 en fête;Bretagne;Ille-et-Vilaine;35510;1992;Cinéma, audiovisuel;Avant-saison (1er janvier - 20 juin);FEST_35051_1383;48.1202268032, -1.59714447272
Top in Humour;Centre-Val de Loire;Eure-et-Loir;28000;2002;Spectacle vivant;Après-saison (6 septembre - 31 décembre);FEST_28085_1511;48.4471464884, 1.50570610616
Marelle s'emballe;Centre-Val de Loire;Cher;18800;2018;Pluridisciplinaire;Saison (21 juin - 5 septembre);FEST_18056_1517;47.0436728432, 2.83281439128
Carrefour de la Chanson;Auvergne-Rhône-Alpes;Puy-de-Dôme;63000;;Musique;Avant-saison (1er janvier - 20 juin);FEST_63113_1666;45.7856492991, 3.11554542903
Journées des écritures de Cluny;Bourgogne-Franche-Comté;Saône-et-Loire;71250;2017;Livre, littérature;Après-saison (6 septembre - 31 décembre);FEST_71137_1715;46.4303628582, 4.67033276327
Festival Bretagne Sud;Bretagne;Morbihan;56750;2013;Musique;Saison (21 juin - 5 septembre);FEST_56052_1918;47.5225849121, -2.58591349552
Festival Conte en fête;Nouvelle-Aquitaine;Vienne;86240;2010;Spectacle vivant;Saison (21 juin - 5 septembre);FEST_86100_2255;46.5312436615, 0.246086949225
Perpesctives;Grand Est;Moselle;57600;1978;Spectacle vivant;Après-saison (6 septembre - 31 décembre);FEST_57227_2274;49.1912650369, 6.89275798526
Drôles de rues;Nouvelle-Aquitaine;Charente-Maritime;17500;2006;Musique;Saison (21 juin - 5 septembre);FEST_17197_2664;45.4419827405, -0.427614839205
Pay'Ta Tong;Pays de la Loire;Vendée;85280;2004;Pluridisciplinaire;Avant-saison (1er janvier - 20 juin);FEST_85089_2759;46.7215872927, -1.33469332327
Azilo;Grand Est;Haut-Rhin;68650;2018;Spectacle vivant;Après-saison (6 septembre - 31 décembre);FEST_68175_2989;48.1597717593, 7.15907651893
Festival du Vexin;Île-de-France;Val-d'Oise;95420;2003;Musique;Saison (21 juin - 5 septembre);FEST_95355_3608;49.158617564, 1.81039322129
Kiosqnrock;Occitanie;Gers;32300;2014;Musique;saison (21 juin - 5 septembre);FEST_32256_3932;43.5186713962, 0.410792361049
Vivre le Lieu;Bourgogne-Franche-Comté;Saône-et-Loire;71700;2014;Arts visuels, arts numériques;Saison (21 juin - 5 septembre);FEST_71338_4574;46.5352832941, 4.84332783222
Propulsion;Île-de-France;Paris;75020;;Pluridisciplinaire;Avant-saison (1er janvier - 20 juin);FEST_75120_4843;48.8567, 2.3508
Hip hop sessions;Guadeloupe;Guadeloupe;97110;2014;Musique;;FEST_97120_5094;16.2386006963, -61.5357180881
Festival Anim'Argence;Occitanie;Aveyron;12420;;Musique;Saison (21 juin - 5 septembre);FEST_12223_326;44.8003905234, 2.7434750028
Festival du Chakiri;Centre-Val de Loire;Loiret;45190;2012;Spectacle vivant;Après-saison (6 septembre - 31 décembre);FEST_45028_672;47.7781494309, 1.63946818857
Les Rendez-vous de l'histoire;Centre-Val de Loire;Loir-et-Cher;41000;1998;Livre, littérature;Après-saison (6 septembre - 31 décembre);FEST_41018_864;47.5817013938, 1.30625551583
Chambray en mai;Centre-Val de Loire;Indre-et-Loire;37170;2001;Spectacle vivant;Avant-saison (1er janvier - 20 juin);FEST_37050_1441;47.3312652065, 0.716803612336
Fest'omne;Provence-Alpes-Côte d'Azur;Hautes-Alpes;5230;;Musique;;FEST_05040_1637;44.5455124295, 6.28782392595
Les Francoff;Nouvelle-Aquitaine;Charente-Maritime;17139;2016;Musique;Saison (21 juin - 5 septembre);FEST_17142_2031;46.1840946232, -1.06784317719
Regards croisés;Auvergne-Rhône-Alpes;Isère;38000;2001;Spectacle vivant;Avant-saison (1er janvier - 20 juin);FEST_38185_2483;45.1821215167, 5.72133051752
Musique à Groix;Bretagne;Morbihan;56590;2010;Musique;Saison (21 juin - 5 septembre);FEST_56069_2507;47.6372394221, -3.4644268016
Festival International du Livre Militaire;Bretagne;Morbihan;56380;2010;Livre, littérature;Saison (21 juin - 5 septembre);FEST_56075_2511;47.9073328689, -2.12921667557
L'oreille en Place;Nouvelle-Aquitaine;Landes;40240;2011;Musique;Saison (21 juin - 5 septembre);FEST_40131_2895;43.9476376722, -0.17524551528
En blanc et noir;Occitanie;Aude;11220;2020;Musique;Saison (21 juin - 5 septembre);FEST_11185_2909;43.0957230349, 2.60436046295
Salon du livre Le Dorat;Nouvelle-Aquitaine;Haute-Vienne;87210;2014;Livre, littérature;Avant-saison (1er janvier - 20 juin);FEST_87059_3077;46.2050923809, 1.06774671416
Festival Trépor'traits;Normandie;Seine-Maritime;76470;2014;Musique;Avant-saison (1er janvier - 20 juin);FEST_76711_3201;50.053376282, 1.372617602
Salon Livres en Fête;Centre-Val de Loire;Indre;36230;1998;Livre, littérature;Avant-saison (1er janvier - 20 juin);FEST_36120_3866;46.6693679113, 1.87334410692
Tous Ô Cinoche;Bretagne;Ille-et-Vilaine;35410;2013;Cinéma, audiovisuel;Avant-saison (1er janvier - 20 juin);FEST_35069_1524;48.0441575779, -1.50016256863
Wanagain Festival;Bourgogne-Franche-Comté;Côte-d'Or;21490;2017;Musique;Avant-saison (1er janvier - 20 juin);FEST_21179_1654;47.4135413138, 5.11448988395
Fête de la vigne;Bourgogne-Franche-Comté;Côte-d'Or;21000;1946;Pluridisciplinaire;Saison (21 juin - 5 septembre);FEST_21231_1973;47.3229437965, 5.03788805877
1, 2, 3… comédie !;Provence-Alpes-Côte d'Azur;Vaucluse;84130;;Spectacle vivant;Avant-saison (1er janvier - 20 juin);FEST_84092_3161;43.9683903531, 4.86549590773
Festival international du film des droits humains de Guadeloupe;Guadeloupe;Guadeloupe;97110;2014;Cinéma, audiovisuel;Après-saison (6 septembre - 31 décembre);FEST_97120_5092;16.2386006963, -61.5357180881
Festival Pablo Casals;Occitanie;Pyrénées-Orientales;66500;1950;Musique;Saison (21 juin - 5 septembre);FEST_66149_5209;42.6145021996, 2.43074849066
Rural Zik;Centre-Val de Loire;Indre;36120;2009;Musique;Saison (21 juin - 5 septembre);FEST_36169_5232;46.7812910587, 2.05837343794
Thélokalisé;Bretagne;Côtes-d'Armor;22460;;Musique;Saison (21 juin - 5 septembre);FEST_22330_5627;48.2459300421, -2.84098515337
Le fil d'ariane;Provence-Alpes-Côte d'Azur;Bouches-du-Rhône;13300;2015;Livre, littérature;Avant-saison (1er janvier - 20 juin);FEST_13103_6208;43.6462885238, 5.06814649576
Mai Musical;Nouvelle-Aquitaine;Charente-Maritime;17600;1979;Musique;Avant-saison (1er janvier - 20 juin);FEST_17421_6256;45.6754417186, -0.936728980856
