Nom du festival;Région principale de déroulement;Département principal de déroulement;Code postal (de la commune principale de déroulement);Année de création du festival;Discipline dominante;Période principale de déroulement du festival;Identifiant;Géocodage xy
Toumélé;Île-de-France;Yvelines;91300;01/01/2002 00:00;Pluridisciplinaire;Avant-saison (1er janvier - 20 juin);FEST_91377_3813;48.7277896426, 2.27513131903
Les musicales d'Assy;Auvergne-Rhône-Alpes;Haute-Savoie;74190;;Musique;Saison (21 juin - 5 septembre);FEST_74208_4908;45.9545838758, 6.74056895873
Festival des Nuits de Joux;Bourgogne-Franche-Comté;Doubs;25300;1974;Spectacle vivant;Saison (21 juin - 5 septembre);FEST_25157_2744;46.8683471293, 6.39291993544
Rirozor;Provence-Alpes-Côte d'Azur;Hautes-Alpes;5200;;Spectacle vivant;Avant-saison (1er janvier - 20 juin);FEST_05098_3266;44.4850666477, 6.57973142216
Festival graf Zeppelin;Normandie;Manche;50630;2019;Musique;Saison (21 juin - 5 septembre);FEST_50267_3283;49.2167143742, -1.52478862014
Lisle noir : les vendanges du polar;Occitanie;Tarn;81310;2015;Livre, littérature;Avant-saison (1er janvier - 20 juin);FEST_81145_3403;43.8974980421, 1.78200143861
Festival du court métrage d'humour de Meudon;Île-de-France;Hauts-de-Seine;92190;1990;Cinéma, audiovisuel;Après-saison (6 septembre - 31 décembre);FEST_92048_3886;48.8037275796, 2.22696287829
Oghmac;Nouvelle-Aquitaine;Dordogne;24290;2015;Spectacle vivant;Saison (21 juin - 5 septembre);FEST_24291_4045;45.0627368774, 1.15422675286
Atlantide, Les Mots du Monde à Nantes;Pays de la Loire;Loire-Atlantique;44000;2013;Livre, littérature;Avant-saison (1er janvier - 20 juin);FEST_44109_4287;47.2316356767, -1.54831008605
Les cabotins neulisiens;Auvergne-Rhône-Alpes;Loire;42590;;Spectacle vivant;Après-saison (6 septembre - 31 décembre);FEST_42156_4355;45.900100869, 4.16834898085
SPOK Festival;Bretagne;Finistère;29120;2010;Musique;Après-saison (6 septembre - 31 décembre);FEST_29220_5163;47.8654885488, -4.21962319652
Ouvre l’oeil;Occitanie;Aveyron;12320;;Cinéma, audiovisuel;Après-saison (6 septembre - 31 décembre);FEST_12214_5597;44.5918935634, 2.94672559934
Festival du film chinois;La Réunion;La Réunion;97400;2011;Cinéma, audiovisuel;Juin;FEST_97411_5735;-20.9329708192, 55.446867167
Exhibitronic;Grand Est;Bas-Rhin;67000;2010;Musique;Avant-saison (1er janvier - 20 juin);FEST_67482_6474;48.5712679849, 7.76752679517
Midi Toulon festival;Provence-Alpes-Côte d'Azur;Var;83000;;Musique;Après-saison (6 septembre - 31 décembre);FEST_83137_6614;43.1361589728, 5.93239634249
La Quinzaine du Livre Jeunesse;Centre-Val de Loire;Indre-et-Loire;37000;1971;Livre, littérature;Après-saison (6 septembre - 31 décembre);FEST_37261_6745;47.3986382281, 0.696526376417
Rencontres Cinéma Et Société;Nouvelle-Aquitaine;Corrèze;19000;2006;Cinéma, audiovisuel;Avant-saison (1er janvier - 20 juin);FEST_19272_6814;45.2731516999, 1.76313875655
FIBD – Festival d’Angoulême;Nouvelle-Aquitaine;Charente;16000;1973;Livre, littérature;Avant-saison (1er janvier - 20 juin);FEST_16015_240;45.6472585146, 0.14514490683
Contes d'Automne;Hauts-de-France;Oise;60000;1999;Spectacle vivant;Après-saison (6 septembre - 31 décembre);FEST_60057_701;49.4365523321, 2.08616123661
Festival Jazz Pourpre Perigord;Nouvelle-Aquitaine;Dordogne;24100;2004;Musique;Avant-saison (1er janvier - 20 juin);FEST_24037_745;44.8543751872, 0.486529423457
Festival du peu;Provence-Alpes-Côte d'Azur;Alpes-Maritimes;6810;2003;Pluridisciplinaire;Après-saison (6 septembre - 31 décembre);FEST_06021_891;43.8622934824, 7.1827870979
Petit festival de Porticciolo;Corse;Haute-Corse;20228;2015;Musique;Saison (21 juin - 5 septembre);FEST_2B046_1156;42.8719957241, 9.44402317459
Terra di canti;Corse;Haute-Corse;20260;2015;Musique;Avant-saison (1er janvier - 20 juin);FEST_2B050_1188;42.5454874755, 8.7595487404
Festival Réservoir d'artistes Gisc 02/03/04 avril 2022;Occitanie;Aude;11000;2008;Spectacle vivant;avant-saison (1er janvier - 20 juin);FEST_11069_1256;43.2093798444, 2.34398855385
Salon du livre jeunesse du Pays de Lorient;Bretagne;Morbihan;56100;2002;Livre, littérature;Après-saison (6 septembre - 31 décembre);FEST_56121_3449;47.7500486947, -3.37823200917
Festival Cinéma Pays de Lunel Traversées;Occitanie;Hérault;34400;1984;Cinéma, audiovisuel;Avant-saison (1er janvier - 20 juin);FEST_34145_3489;43.6820481757, 4.13566472301
Interférences;Auvergne-Rhône-Alpes;Métropole de Lyon;69001;2015;Cinéma, audiovisuel;Après-saison (6 septembre - 31 décembre);FEST_69129_3544;45.759723, 4.842223
Metis;Auvergne-Rhône-Alpes;Drôme;26740;;Spectacle vivant;Avant-saison (1er janvier - 20 juin);FEST_26176_3679;44.640273082, 4.88311372596
Les Palhàs;Auvergne-Rhône-Alpes;Cantal;15500;;Pluridisciplinaire;Après-saison (6 septembre - 31 décembre);FEST_15119_3800;45.2454117687, 3.19978709447
Mai en Scène;Nouvelle-Aquitaine;Pyrénées-Atlantiques;64130;2003;Spectacle vivant;Avant-saison (1er janvier - 20 juin);FEST_64371_3814;43.2166409006, -0.883099093035
Bach Festival Gers;Occitanie;Gers;32300;2017;Musique;Saison (21 juin - 5 septembre);FEST_32256_3930;43.5186713962, 0.410792361049
Les Gaminades;Nouvelle-Aquitaine;Charente;16190;2002;Spectacle vivant;Avant-saison (1er janvier - 20 juin);FEST_16230_4058;45.4225777872, 0.127349505692
Montvalent Monvalent festival;Occitanie;Lot;46600;2015;Musique;Saison (21 juin - 5 septembre);FEST_46208_4161;44.8740684333, 1.63555769286
Les tréteaux du couvent;Provence-Alpes-Côte d'Azur;Var;83190;;Spectacle vivant;Saison (21 juin - 5 septembre);FEST_83090_4515;43.1386133658, 5.85369204547
Les Singulier.e.s;Île-de-France;Paris;75019;2017;Pluridisciplinaire;Avant-saison (1er janvier - 20 juin);FEST_75119_4776;48.886868623, 2.38469432787
MyFrenchFilmFestival;Île-de-France;Paris;75009;01/01/2011 00:00;Cinéma, audiovisuel;Avant-saison (1er janvier - 20 juin);FEST_75109_4798;48.8768961624, 2.33746024139
L'Art est dans les Bois;Bretagne;Côtes-d'Armor;22490;;Arts visuels, arts numériques;Saison (21 juin - 5 septembre);FEST_22190_5058;48.5279257425, -2.07094753611
Festival d'images pyrénéennes;Occitanie;Pyrénées-Orientales;66500;;Arts visuels, arts numériques;Après-saison (6 septembre - 31 décembre);FEST_66149_5208;42.6145021996, 2.43074849066
